username,group_number,outstanding,very_good,good,fair,needs_improvement
uid1,10,90,10,0,0,0
uid4,10,80,20,0,0,0
uid12,10,100,0,0,0,0
uid8,10,100,0,0,0,0
uid15,10,0,0,100,0,0
uid6,10,60,40,0,0,0
uid20,10,30,70,0,0,0
uid17,10,10,90,0,0,0
uid5,10,0,50,50,0,0
uid13,10,40,60,0,0,0
uid18,10,100,0,0,0,0
uid7,10,80,20,0,0,0
uid16,10,0,50,40,10,0
uid11,10,70,30,0,0,0
uid19,10,80,20,0,0,0
uid3,10,100,0,0,0,0
uid10,10,96,4,0,0,0
uid2,9,20,80,0,0,0
uid10,1,98,2,0,0,0
uid3,1,70,20,10,0,0
uid5,1,50,50,0,0,0
uid9,10,82,10,8,0,0
uid4,1,100,0,0,0,0
uid17,1,10,90,0,0,0
uid8,1,100,0,0,0,0
uid2,1,30,70,0,0,0
uid12,1,20,80,0,0,0
uid16,1,40,20,20,10,10
uid13,1,40,60,0,0,0
uid20,1,15,70,15,0,0
uid9,1,90,10,0,0,0
uid11,1,90,10,0,0,0
uid7,1,90,10,0,0,0
uid1,1,90,10,0,0,0
uid14,1,20,40,30,10,0
uid15,1,0,90,10,0,0
uid18,1,90,10,0,0,0
uid6,1,20,20,20,20,20
uid19,1,30,70,0,0,0
uid6,2,50,20,10,10,10
uid14,2,10,50,30,10,0
uid19,2,10,20,70,0,0
uid1,2,50,50,0,0,0
uid12,2,5,90,5,0,0
uid15,2,0,30,70,0,0
uid20,2,15,25,50,10,0
uid7,2,70,30,0,0,0
uid18,2,90,0,10,0,0
uid5,2,5,95,0,0,0
uid2,10,30,70,0,0,0
uid10,2,5,90,5,0,0
uid9,2,80,20,0,0,0
uid17,2,10,80,10,0,0
uid3,2,10,20,60,5,5
uid16,2,40,20,20,10,10
uid13,2,0,50,50,0,0
uid4,2,0,90,10,0,0
uid1,3,80,20,0,0,0
uid14,3,30,40,25,5,0
uid2,2,20,80,0,0,0
uid12,3,80,20,0,0,0
uid15,3,0,80,20,0,0
