username,group_number,outstanding,very_good,good,fair,needs_improvement
uid1,1,100,0,0,0,0
uid4,1,50,50,0,0,0
uid12,1,10,90,0,0,0
uid8,1,50,50,0,0,0
uid15,1,40,50,10,0,0
uid6,1,50,50,0,0,0
uid21,1,30,70,0,0,0
uid17,1,30,50,20,0,0
uid5,1,100,0,0,0,0
uid13,1,90,10,0,0,0
uid18,1,30,40,20,10,0
uid7,1,25,75,0,0,0
uid16,1,0,80,20,0,0
uid11,1,10,60,30,0,0
uid19,1,80,20,0,0,0
uid3,1,10,70,20,0,0
uid10,1,20,50,20,10,0
uid2,1,40,35,25,0,0
uid9,1,90,10,0,0,0
uid20,1,0,70,30,0,0
uid6,2,20,50,30,0,0
uid18,2,0,50,40,10,0
uid15,2,0,80,20,0,0
uid8,2,0,50,50,0,0
uid12,2,90,10,0,0,0
uid1,3,100,0,0,0,0
uid7,2,0,50,50,0,0
uid3,2,10,80,10,0,0
uid5,2,100,0,0,0,0
uid2,2,60,40,0,0,0
uid13,2,0,80,20,0,0
uid21,2,0,50,30,20,0
uid14,1,50,50,0,0,0
uid11,2,0,20,70,10,0
uid17,2,20,30,50,0,0
uid4,2,50,50,0,0,0
uid16,2,10,90,0,0,0
uid20,2,0,15,70,15,0
uid14,2,0,50,50,0,0
uid10,2,10,30,50,10,0
uid19,2,0,50,50,0,0
uid9,2,0,40,60,0,0
uid18,3,30,50,20,0,0
uid8,3,30,20,50,0,0
uid7,3,0,50,50,0,0
uid12,3,50,50,0,0,0
uid2,6,80,20,0,0,0
uid11,3,0,20,50,30,0
uid16,3,30,70,0,0,0
uid15,3,95,5,0,0,0
uid14,3,0,25,50,25,0
uid13,3,10,90,0,0,0
uid21,3,20,50,30,0,0
uid17,3,10,60,30,0,0
uid3,3,5,75,20,0,0
uid10,3,10,30,50,10,0
uid20,3,0,10,40,50,0
uid4,3,25,50,25,0,0
uid19,3,0,70,30,0,0
uid9,3,40,60,0,0,0
uid6,3,80,20,0,0,0
uid6,4,0,50,50,0,0
uid4,4,25,50,25,0,0
uid12,4,90,10,0,0,0
uid8,4,10,50,40,0,0
uid3,4,10,80,10,0,0
uid10,4,50,50,0,0,0
uid14,4,0,0,80,20,0
uid11,4,0,0,60,40,0
uid21,4,20,50,30,0,0
uid19,4,0,0,50,50,0
uid15,4,100,0,0,0,0
uid18,4,100,0,0,0,0
uid17,4,0,50,50,0,0
uid13,4,0,90,10,0,0
uid20,4,0,10,20,70,0
uid7,4,0,0,75,25,0
uid1,4,30,50,20,0,0
uid2,4,0,20,40,40,0
uid9,4,20,60,20,0,0
