username,group_number,outstanding,very_good,good,fair,needs_improvement
uid1,1,10,70,20,0,0
uid4,1,80,20,0,0,0
uid11,1,90,10,0,0,0
uid7,1,100,0,0,0,0
uid1,5,100,0,0,0,0
uid14,1,70,20,5,5,0
uid2,1,0,70,30,0,0
uid19,1,30,50,20,0,0
uid16,1,90,10,0,0,0
uid5,1,10,80,10,0,0
uid12,1,20,80,0,0,0
uid17,1,20,75,5,0,0
uid3,1,10,60,30,0,0
uid15,1,60,40,0,0,0
uid8,1,70,20,10,0,0
uid18,1,100,0,0,0,0
uid9,1,25,50,25,0,0
uid6,1,0,40,45,15,0
uid10,1,20,80,0,0,0
uid13,1,10,40,50,0,0
uid1,2,20,50,25,5,0
uid14,2,20,20,60,0,0
uid3,2,5,70,25,0,0
uid2,2,0,60,40,0,0
uid16,2,100,0,0,0,0
uid11,2,70,20,10,0,0
uid4,2,20,60,20,0,0
uid7,2,0,50,50,0,0
uid18,2,0,100,0,0,0
uid12,2,0,50,50,0,0
uid19,2,10,40,30,20,0
uid15,2,0,100,0,0,0
uid13,2,0,20,50,30,0
uid9,2,40,50,10,0,0
uid5,2,30,60,10,0,0
uid17,2,70,20,10,0,0
uid8,2,40,50,10,0,0
uid6,2,0,40,45,15,0
uid1,3,40,50,10,0,0
uid10,2,90,10,0,0,0
uid3,3,10,80,10,0,0
uid13,3,0,50,50,0,0
uid18,3,0,0,100,0,0
uid12,3,70,30,0,0,0
uid5,3,30,70,0,0,0
uid19,3,0,30,50,20,0
uid17,3,5,80,15,0,0
uid15,3,40,60,0,0,0
uid13,6,50,50,0,0,0
uid11,3,80,20,0,0,0
uid14,3,80,20,0,0,0
uid4,3,100,0,0,0,0
uid2,3,100,0,0,0,0
uid6,3,0,60,40,0,0
uid7,3,60,40,0,0,0
uid9,3,15,25,60,0,0
uid16,3,80,19,1,0,0
uid10,3,10,90,0,0,0
uid8,3,35,55,10,0,0
uid1,4,30,60,10,0,0
uid7,4,20,50,30,0,0
uid11,4,75,15,10,0,0
uid4,4,10,70,15,3,2
uid2,4,0,50,50,0,0
uid6,4,0,50,50,0,0
uid13,4,0,40,60,0,0
uid14,4,30,70,0,0,0
uid15,4,0,100,0,0,0
uid10,4,15,85,0,0,0
uid8,4,0,35,65,0,0
uid18,4,0,100,0,0,0
uid9,4,10,20,70,0,0
uid12,4,20,70,10,0,0
uid5,4,20,70,10,0,0
uid3,4,20,70,10,0,0
uid17,4,10,60,30,0,0
uid16,4,60,30,10,0,0
uid18,5,100,0,0,0,0
uid3,5,0,30,70,0,0
uid13,5,30,70,0,0,0
uid5,5,80,20,0,0,0
uid4,5,20,75,5,0,0
uid14,5,30,50,20,0,0
uid7,5,20,60,20,0,0
uid11,5,70,20,10,0,0
uid2,5,40,60,0,0,0
uid15,5,0,100,0,0,0
uid19,5,40,40,20,0,0
uid9,5,80,20,0,0,0
uid17,5,10,65,25,0,0
uid16,5,50,30,20,0,0
uid19,4,10,50,40,0,0
uid6,5,35,50,15,0,0
uid10,5,0,15,85,0,0
uid12,5,30,70,0,0,0
uid8,5,0,70,30,0,0
uid14,6,20,70,10,0,0
uid18,6,0,0,100,0,0
uid1,6,15,55,30,0,0
uid8,6,0,20,80,0,0
uid7,6,0,50,50,0,0
uid17,6,5,65,30,0,0
uid19,6,10,30,50,10,0
uid3,6,0,40,60,0,0
uid15,6,0,40,60,0,0
uid11,6,85,5,10,0,0
uid2,6,0,40,60,0,0
uid12,6,20,70,10,0,0
uid9,6,10,20,70,0,0
uid6,6,25,45,30,0,0
uid4,6,5,10,80,5,0
uid5,6,0,30,70,0,0
uid10,6,0,35,65,0,0
uid16,6,90,10,0,0,0
