username,group_number,outstanding,very_good,good,fair,needs_improvement
uid3,1,100,0,0,0,0
uid7,1,60,25,15,0,0
uid10,1,10,90,0,0,0
uid13,1,0,90,10,0,0
uid14,1,0,85,15,0,0
uid9,1,15,75,10,0,0
uid23,1,0,0,100,0,0
uid19,1,90,10,0,0,0
uid4,1,70,20,10,0,0
uid2,1,15,60,15,10,0
uid20,1,40,20,20,10,10
uid11,1,10,40,50,0,0
uid6,1,15,50,35,0,0
uid8,1,40,60,0,0,0
uid21,1,80,10,10,0,0
uid1,1,70,30,0,0,0
uid16,1,60,30,10,0,0
uid5,1,80,20,0,0,0
uid15,1,10,60,30,0,0
uid22,1,40,20,40,0,0
uid12,1,70,20,10,0,0
uid17,1,50,45,5,0,0
uid20,2,80,10,10,0,0
uid7,2,80,15,5,0,0
uid23,2,20,80,0,0,0
uid3,2,100,0,0,0,0
uid2,2,10,60,10,20,0
uid9,2,90,10,0,0,0
uid5,2,90,10,0,0,0
uid4,2,90,10,0,0,0
uid16,2,10,90,0,0,0
uid11,2,50,50,0,0,0
uid10,2,100,0,0,0,0
uid21,2,70,25,5,0,0
uid12,2,90,10,0,0,0
uid15,2,50,30,20,0,0
uid19,2,85,15,0,0,0
uid1,2,80,20,0,0,0
uid22,2,50,40,10,0,0
uid13,2,70,30,0,0,0
uid8,2,80,20,0,0,0
uid14,2,10,90,0,0,0
uid6,2,15,70,15,0,0
uid18,1,80,20,0,0,0
uid17,2,80,20,0,0,0
uid22,3,10,50,40,0,0
uid11,3,10,50,40,0,0
uid3,3,0,50,50,0,0
uid2,3,10,50,30,10,0
uid9,3,20,40,40,0,0
uid13,3,50,50,0,0,0
uid12,3,50,40,10,0,0
uid19,3,80,10,10,0,0
uid10,3,0,100,0,0,0
uid4,3,10,85,5,0,0
uid20,3,80,10,10,0,0
uid8,3,30,70,0,0,0
uid16,3,10,10,80,0,0
uid23,3,20,40,40,0,0
uid14,3,10,90,0,0,0
uid21,3,70,20,10,0,0
uid7,3,80,15,5,0,0
uid17,3,40,60,0,0,0
uid5,3,70,30,0,0,0
uid6,3,5,75,20,0,0
uid15,3,10,50,30,10,0
uid18,2,100,0,0,0,0
uid1,4,70,30,0,0,0
uid10,4,50,50,0,0,0
uid14,4,15,80,5,0,0
uid4,4,5,85,10,0,0
uid23,4,20,20,60,0,0
uid20,4,50,35,15,0,0
uid16,4,10,90,0,0,0
uid15,4,0,30,50,20,0
uid9,4,10,70,20,0,0
uid7,4,85,10,5,0,0
uid3,4,80,20,0,0,0
uid19,4,90,5,5,0,0
uid12,4,100,0,0,0,0
uid21,4,70,20,10,0,0
uid8,4,40,60,0,0,0
uid11,4,50,40,10,0,0
uid2,4,20,60,20,0,0
uid17,4,20,50,30,0,0
uid6,4,20,60,20,0,0
uid13,4,0,80,20,0,0
uid22,4,50,40,10,0,0
uid1,5,80,20,0,0,0
uid1,3,70,30,0,0,0
uid17,5,90,10,0,0,0
uid23,5,10,80,10,0,0
uid22,5,40,40,20,0,0
uid13,5,0,70,30,0,0
uid1,7,100,0,0,0,0
uid9,5,80,20,0,0,0
uid1,6,90,10,0,0,0
uid18,4,90,10,0,0,0
uid7,5,75,10,15,0,0
uid18,5,95,5,0,0,0
uid20,5,80,20,0,0,0
uid16,5,10,90,0,0,0
uid5,5,60,40,0,0,0
uid11,5,50,50,0,0,0
uid15,5,0,70,30,0,0
uid3,5,80,20,0,0,0
uid2,5,40,40,20,0,0
uid12,5,100,0,0,0,0
uid8,5,50,50,0,0,0
uid19,5,85,10,5,0,0
uid18,3,80,20,0,0,0
uid5,4,90,10,0,0,0
uid10,5,100,0,0,0,0
uid21,5,90,10,0,0,0
uid14,5,30,70,0,0,0
uid4,5,85,10,5,0,0
uid6,5,80,20,0,0,0
uid23,6,20,70,10,0,0
uid5,6,60,20,20,0,0
uid4,6,70,20,10,0,0
uid11,6,40,60,0,0,0
uid22,6,40,50,10,0,0
uid9,6,15,85,0,0,0
uid19,6,90,10,0,0,0
uid16,6,10,10,80,0,0
uid15,6,20,30,50,0,0
uid3,6,0,80,20,0,0
uid21,6,70,20,10,0,0
uid7,6,77,20,3,0,0
uid2,6,40,30,30,0,0
uid12,6,80,20,0,0,0
uid20,6,80,20,0,0,0
uid17,6,100,0,0,0,0
uid6,6,5,60,35,0,0
uid8,6,20,80,0,0,0
uid13,6,40,60,0,0,0
uid10,6,20,80,0,0,0
uid14,6,25,75,0,0,0
uid17,7,0,20,60,20,0
uid23,7,0,10,30,60,0
uid13,7,0,0,60,40,0
uid22,7,30,40,30,0,0
uid20,7,30,30,40,0,0
uid21,7,50,20,30,0,0
uid7,7,33,30,37,0,0
uid5,7,20,30,50,0,0
uid11,7,10,50,40,0,0
uid16,7,0,10,90,0,0
uid15,7,0,20,30,50,0
uid14,7,5,80,15,0,0
uid9,7,0,10,80,10,0
uid2,7,10,80,10,0,0
uid4,7,5,20,75,0,0
uid10,7,0,0,100,0,0
uid6,7,0,0,80,20,0
uid8,7,30,70,0,0,0
uid19,7,20,40,40,0,0
uid12,7,70,20,10,0,0
uid18,6,90,10,0,0,0
uid18,7,100,0,0,0,0
uid3,7,0,50,50,0,0
