username,group_number,outstanding,very_good,good,fair,needs_improvement
uid6,8,0,0,80,20,0
uid18,8,15,60,25,0,0
uid12,8,50,50,0,0,0
uid9,8,20,60,20,0,0
uid13,8,30,70,0,0,0
uid11,8,25,50,25,0,0
uid10,8,20,30,50,0,0
uid7,8,40,30,30,0,0
uid3,8,40,50,10,0,0
uid17,8,30,60,5,3,2
uid16,8,0,50,20,20,10
uid4,8,0,0,50,50,0
uid2,8,50,50,0,0,0
uid5,8,20,70,10,0,0
uid1,8,0,20,80,0,0
uid16,5,20,70,10,0,0
uid12,5,40,40,20,0,0
uid15,5,20,80,0,0,0
uid6,5,10,80,10,0,0
uid18,5,80,15,5,0,0
uid4,5,60,0,40,0,0
uid17,5,70,20,5,4,1
uid7,5,80,20,0,0,0
uid3,5,30,30,40,0,0
uid9,5,90,10,0,0,0
uid14,5,5,90,5,0,0
uid11,5,90,10,0,0,0
uid13,5,50,50,0,0,0
uid2,5,0,50,50,0,0
uid10,5,50,25,25,0,0
uid5,5,20,60,20,0,0
uid15,8,0,75,25,0,0
uid8,5,50,50,0,0,0
uid14,8,0,80,20,0,0
uid8,8,50,50,0,0,0
uid12,6,20,40,40,0,0
uid9,6,10,80,10,0,0
uid3,6,5,60,35,0,0
uid18,6,0,65,35,0,0
uid16,6,0,30,50,20,0
uid6,6,40,60,0,0,0
uid14,6,0,70,30,0,0
uid4,6,0,60,40,0,0
uid15,6,0,20,80,0,0
uid7,6,0,70,30,0,0
uid17,6,5,20,60,10,5
uid13,6,30,40,30,0,0
uid10,6,0,30,70,0,0
uid11,6,15,50,35,0,0
uid5,6,10,80,10,0,0
uid2,1,0,50,50,0,0
uid8,6,30,30,40,0,0
uid1,5,0,20,70,10,0
uid4,1,0,0,0,50,50
uid16,1,0,20,50,20,10
uid9,1,10,10,80,0,0
uid6,1,0,0,80,20,0
uid8,1,30,50,20,0,0
uid14,1,0,70,30,0,0
uid7,1,0,50,50,0,0
uid15,1,0,0,70,30,0
uid17,1,5,10,70,10,5
uid13,1,25,25,50,0,0
uid10,1,0,20,80,0,0
uid11,1,0,30,70,0,0
uid2,6,0,0,50,50,0
uid1,1,0,60,30,10,0
uid3,1,50,50,0,0,0
uid1,6,0,10,90,0,0
uid12,1,50,50,0,0,0
uid5,1,20,60,20,0,0
uid9,2,80,20,0,0,0
uid6,2,0,60,40,0,0
uid12,2,40,50,10,0,0
uid10,2,25,50,25,0,0
uid4,2,50,50,0,0,0
uid16,2,50,50,0,0,0
uid14,2,25,70,5,0,0
uid7,2,80,20,0,0,0
uid13,2,80,20,0,0,0
uid15,2,0,90,10,0,0
uid5,2,30,50,20,0,0
uid11,2,60,30,10,0,0
uid18,1,0,10,70,20,0
uid3,2,70,30,0,0,0
uid2,2,20,80,0,0,0
uid17,2,20,10,65,3,2
uid8,2,60,40,0,0,0
uid9,4,0,0,50,50,0
uid3,4,0,0,100,0,0
uid18,2,20,60,15,5,0
uid4,4,0,0,0,60,40
uid12,4,0,20,50,30,0
uid15,4,0,0,55,45,0
uid16,4,0,10,70,20,0
uid13,4,20,30,50,0,0
uid7,4,0,60,40,0,0
uid1,4,10,80,10,0,0
uid14,4,0,10,70,20,0
uid1,2,30,70,0,0,0
uid17,4,16,70,10,2,2
uid10,4,0,0,50,50,0
uid11,4,0,25,50,25,0
uid18,4,20,75,5,0,0
uid6,4,0,20,40,40,0
uid8,4,20,50,30,0,0
uid2,4,30,20,50,0,0
uid15,3,0,85,15,0,0
uid9,3,70,30,0,0,0
uid6,3,10,60,30,0,0
uid8,3,70,30,0,0,0
uid1,3,80,20,0,0,0
uid13,3,80,20,0,0,0
uid10,3,50,50,0,0,0
uid14,3,50,50,0,0,0
uid7,3,80,20,0,0,0
uid17,3,75,10,10,3,2
uid18,3,50,40,10,0,0
uid11,3,60,40,0,0,0
uid2,3,50,30,20,0,0
uid4,3,100,0,0,0,0
uid3,3,95,5,0,0,0
uid16,3,100,0,0,0,0
uid12,3,80,20,0,0,0
uid12,7,30,50,20,0,0
uid9,7,0,90,10,0,0
uid15,7,0,80,20,0,0
uid14,7,0,10,65,25,0
uid3,7,70,30,0,0,0
uid8,7,70,30,0,0,0
uid6,7,10,80,10,0,0
uid2,7,0,50,50,0,0
uid10,7,70,30,0,0,0
uid18,7,50,40,10,0,0
uid1,7,10,40,50,0,0
uid11,7,40,60,0,0,0
uid17,7,30,60,5,3,2
uid16,7,10,60,30,0,0
uid7,7,80,20,0,0,0
uid13,7,70,20,10,0,0
uid4,7,0,60,40,0,0
uid5,4,20,40,40,0,0
uid5,3,60,40,0,0,0
uid5,7,20,60,20,0,0
