username,group_number,outstanding,very_good,good,fair,needs_improvement
uid1,5,80,15,3,2,0
uid15,5,100,0,0,0,0
uid14,5,80,20,0,0,0
uid13,5,95,5,0,0,0
uid2,5,90,10,0,0,0
uid16,5,20,80,0,0,0
uid18,5,90,10,0,0,0
uid5,5,60,40,0,0,0
uid4,5,90,10,0,0,0
uid21,5,40,30,30,0,0
uid11,5,40,50,10,0,0
uid3,5,90,10,0,0,0
uid12,5,90,10,0,0,0
uid7,5,90,10,0,0,0
uid8,5,60,40,0,0,0
uid10,5,60,40,0,0,0
uid19,5,96,4,0,0,0
uid17,5,10,80,10,0,0
uid9,5,55,35,10,0,0
uid16,7,10,40,50,0,0
uid10,7,0,50,50,0,0
uid21,7,30,50,20,0,0
uid5,7,40,50,10,0,0
uid8,7,30,60,10,0,0
uid12,7,50,50,0,0,0
uid11,7,30,30,30,10,0
uid17,7,0,50,50,0,0
uid7,7,55,45,0,0,0
uid9,7,30,50,20,0,0
uid3,7,85,10,5,0,0
uid1,7,17,33,45,5,0
uid19,7,88,12,0,0,0
uid13,7,0,100,0,0,0
uid15,7,50,50,0,0,0
uid4,7,10,80,5,5,0
uid2,7,20,80,0,0,0
uid14,7,80,20,0,0,0
uid20,5,90,10,0,0,0
uid15,8,50,50,0,0,0
uid7,8,90,10,0,0,0
uid19,8,90,10,0,0,0
uid11,8,50,30,10,10,0
uid9,8,30,60,10,0,0
uid10,8,0,70,30,0,0
uid4,8,25,70,5,0,0
uid17,8,60,40,0,0,0
uid1,8,10,30,60,0,0
uid12,8,90,10,0,0,0
uid21,8,70,30,0,0,0
uid16,8,20,70,10,0,0
uid3,8,90,10,0,0,0
uid20,8,80,20,0,0,0
uid13,8,95,5,0,0,0
uid14,8,81,19,0,0,0
uid5,8,40,50,10,0,0
uid2,8,0,20,80,0,0
uid8,8,30,60,10,0,0
uid18,8,50,50,0,0,0
uid18,7,20,80,0,0,0
uid20,7,95,5,0,0,0
uid11,6,30,50,10,10,0
uid7,6,85,15,0,0,0
uid21,6,80,10,10,0,0
uid10,6,65,35,0,0,0
uid5,6,30,60,10,0,0
uid16,6,90,10,0,0,0
uid12,6,50,25,25,0,0
uid1,6,95,3,2,0,0
uid4,6,90,5,5,0,0
uid19,6,96,4,0,0,0
uid13,6,80,10,10,0,0
uid15,6,20,50,30,0,0
uid8,6,20,70,10,0,0
uid18,6,20,80,0,0,0
uid2,6,0,90,10,0,0
uid3,6,80,20,0,0,0
uid20,6,97,3,0,0,0
uid1,2,95,5,0,0,0
uid15,2,100,0,0,0,0
uid2,2,0,90,10,0,0
uid7,2,95,5,0,0,0
uid16,2,100,0,0,0,0
uid10,2,80,20,0,0,0
uid17,2,80,20,0,0,0
uid9,2,80,20,0,0,0
uid3,2,95,5,0,0,0
uid5,2,50,50,0,0,0
uid13,2,100,0,0,0,0
uid12,2,100,0,0,0,0
uid8,2,60,40,0,0,0
uid19,2,98,2,0,0,0
uid20,2,100,0,0,0,0
uid18,2,90,10,0,0,0
uid4,2,95,5,0,0,0
uid14,6,80,20,0,0,0
uid14,2,80,20,0,0,0
uid12,1,70,30,0,0,0
uid4,1,90,10,0,0,0
uid7,1,95,5,0,0,0
uid21,1,85,15,0,0,0
uid9,1,80,20,0,0,0
uid17,1,80,20,0,0,0
uid3,1,30,70,0,0,0
uid11,1,30,50,20,0,0
uid13,1,100,0,0,0,0
uid17,6,60,40,0,0,0
uid9,6,60,40,0,0,0
uid2,1,90,10,0,0,0
uid18,1,100,0,0,0,0
uid21,2,50,50,0,0,0
uid20,1,100,0,0,0,0
uid8,1,40,60,0,0,0
uid19,1,100,0,0,0,0
uid5,1,30,70,0,0,0
uid11,2,30,40,30,0,0
uid1,1,95,5,0,0,0
uid15,1,90,10,0,0,0
uid16,1,100,0,0,0,0
uid14,1,80,20,0,0,0
uid1,4,0,30,60,10,0
uid7,4,60,30,10,0,0
uid11,4,10,30,50,10,0
uid9,4,10,60,30,0,0
uid21,4,20,70,10,0,0
uid20,4,90,10,0,0,0
uid17,4,25,50,25,0,0
uid10,4,0,50,50,0,0
uid18,4,10,90,0,0,0
uid10,1,80,20,0,0,0
uid19,4,90,10,0,0,0
uid16,4,20,50,30,0,0
uid5,4,0,80,20,0,0
uid8,4,10,80,10,0,0
uid15,4,0,50,50,0,0
uid3,4,70,30,0,0,0
uid14,4,100,0,0,0,0
uid13,4,0,80,20,0,0
uid4,4,10,85,5,0,0
uid2,4,10,90,0,0,0
uid12,4,20,50,30,0,0
uid21,3,10,70,20,0,0
uid7,3,0,70,30,0,0
uid1,3,10,20,70,0,0
uid3,3,60,40,0,0,0
uid20,3,0,100,0,0,0
uid19,3,89,11,0,0,0
uid9,3,0,45,55,0,0
uid4,3,10,80,10,0,0
uid11,3,20,40,40,0,0
uid13,3,0,95,5,0,0
uid2,3,0,95,5,0,0
uid5,3,0,80,20,0,0
uid8,3,0,80,20,0,0
uid17,3,0,50,50,0,0
uid18,3,0,90,10,0,0
uid12,3,10,50,40,0,0
uid16,3,10,40,50,0,0
uid10,3,0,40,60,0,0
uid1,9,5,10,85,0,0
uid3,9,80,20,0,0,0
uid20,9,0,100,0,0,0
uid4,9,10,75,15,0,0
uid11,9,20,30,40,10,0
uid9,9,0,30,60,10,0
uid5,9,0,80,20,0,0
uid21,9,40,50,10,0,0
uid8,9,0,70,30,0,0
uid16,9,0,20,80,0,0
uid10,9,0,30,70,0,0
uid13,9,0,0,100,0,0
uid7,9,0,60,40,0,0
uid12,9,5,85,10,0,0
uid2,9,0,60,40,0,0
uid18,9,10,80,10,0,0
uid17,9,0,50,50,0,0
uid14,3,80,20,0,0,0
uid14,9,90,10,0,0,0
uid19,9,95,5,0,0,0
uid15,3,0,50,50,0,0
uid15,9,0,0,0,100,0
