username,group_number,outstanding,very_good,good,fair,needs_improvement
uid20,4,100,0,0,0,0
uid14,9,100,0,0,0,0
uid12,9,80,20,0,0,0
uid21,9,85,15,0,0,0
uid20,9,100,0,0,0,0
uid19,9,80,20,0,0,0
uid18,9,0,50,50,0,0
uid8,9,0,50,50,0,0
uid3,9,0,100,0,0,0
uid4,9,20,20,30,5,25
uid15,9,0,100,0,0,0
uid10,9,70,30,0,0,0
uid11,9,50,50,0,0,0
uid5,9,0,100,0,0,0
uid2,9,0,24,61,15,0
uid9,9,5,95,0,0,0
uid6,9,10,80,10,0,0
uid1,9,20,70,9,1,0
uid17,9,10,20,50,10,10
uid13,9,0,0,100,0,0
uid20,3,100,0,0,0,0
uid4,3,30,40,10,0,20
uid14,3,0,85,15,0,0
uid18,3,0,100,0,0,0
uid8,3,50,50,0,0,0
uid16,6,90,10,0,0,0
uid17,3,20,50,30,0,0
uid7,9,90,10,0,0,0
uid21,3,80,20,0,0,0
uid7,3,10,80,10,0,0
uid11,3,80,20,0,0,0
uid3,3,0,100,0,0,0
uid10,3,50,50,0,0,0
uid6,3,85,15,0,0,0
uid5,3,50,50,0,0,0
uid1,3,30,50,20,0,0
uid13,3,0,0,100,0,0
uid19,3,100,0,0,0,0
uid9,3,0,95,5,0,0
uid12,3,100,0,0,0,0
uid15,3,0,100,0,0,0
uid7,5,0,100,0,0,0
uid12,5,20,70,10,0,0
uid3,5,0,100,0,0,0
uid14,5,100,0,0,0,0
uid4,5,30,30,20,10,10
uid9,5,95,5,0,0,0
uid11,5,90,10,0,0,0
uid21,5,70,30,0,0,0
uid15,5,100,0,0,0,0
uid16,5,95,5,0,0,0
uid20,5,100,0,0,0,0
uid19,5,70,30,0,0,0
uid17,5,10,10,50,20,10
uid2,5,100,0,0,0,0
uid18,5,50,50,0,0,0
uid6,5,95,5,0,0,0
uid5,5,100,0,0,0,0
uid1,5,90,5,5,0,0
uid2,3,0,18,52,30,0
uid8,5,90,10,0,0,0
uid10,5,0,50,50,0,0
uid18,4,0,50,50,0,0
uid3,4,5,95,0,0,0
uid12,4,100,0,0,0,0
uid9,4,0,95,5,0,0
uid14,4,20,80,0,0,0
uid19,4,100,0,0,0,0
uid11,4,90,10,0,0,0
uid16,4,40,60,0,0,0
uid21,4,80,20,0,0,0
uid15,4,0,100,0,0,0
uid10,4,100,0,0,0,0
uid8,4,10,90,0,0,0
uid1,4,90,10,0,0,0
uid6,4,90,10,0,0,0
uid5,4,100,0,0,0,0
uid4,4,90,0,0,0,10
uid17,4,100,0,0,0,0
uid14,6,0,70,30,0,0
uid18,6,0,0,75,25,0
uid12,6,60,20,20,0,0
uid20,6,100,0,0,0,0
uid21,6,70,30,0,0,0
uid9,6,0,90,5,5,0
uid2,4,0,10,67,23,0
uid4,6,20,30,30,0,20
uid11,6,70,30,0,0,0
uid16,3,90,10,0,0,0
uid19,6,80,20,0,0,0
uid15,6,0,0,100,0,0
uid2,6,0,0,100,0,0
uid10,6,50,50,0,0,0
uid13,5,0,100,0,0,0
uid1,6,90,8,2,0,0
uid6,6,85,10,5,0,0
uid17,6,20,30,50,0,0
uid5,6,50,50,0,0,0
uid3,6,5,95,0,0,0
uid13,4,0,100,0,0,0
uid13,6,0,0,100,0,0
uid15,8,0,0,100,0,0
uid13,8,0,100,0,0,0
uid16,8,15,85,0,0,0
uid4,8,0,60,20,10,10
uid18,8,0,0,100,0,0
uid19,8,20,70,10,0,0
uid12,8,50,50,0,0,0
uid3,8,0,100,0,0,0
uid21,8,70,30,0,0,0
uid11,8,90,10,0,0,0
uid20,8,100,0,0,0,0
uid10,8,0,100,0,0,0
uid17,8,0,30,50,20,0
uid14,8,100,0,0,0,0
uid2,8,0,23,66,11,0
uid6,8,15,60,25,0,0
uid1,8,60,25,15,0,0
uid5,8,100,0,0,0,0
uid9,8,95,5,0,0,0
uid8,8,0,50,50,0,0
uid8,6,50,50,0,0,0
uid7,8,5,90,5,0,0
uid20,1,100,0,0,0,0
uid21,1,80,20,0,0,0
uid16,1,50,50,0,0,0
uid14,1,100,0,0,0,0
uid18,1,0,50,50,0,0
uid4,1,0,20,60,0,20
uid12,1,70,30,0,0,0
uid19,1,70,30,0,0,0
uid9,1,0,95,5,0,0
uid11,1,85,15,0,0,0
uid8,1,10,90,0,0,0
uid10,1,0,50,50,0,0
uid3,1,0,90,10,0,0
uid7,1,5,80,15,0,0
uid16,9,80,20,0,0,0
uid17,1,0,20,50,30,0
uid2,1,100,0,0,0,0
uid7,6,95,5,0,0,0
uid15,1,0,100,0,0,0
uid13,1,0,100,0,0,0
uid7,4,10,15,75,0,0
uid3,7,9,91,0,0,0
uid21,7,60,40,0,0,0
uid20,7,100,0,0,0,0
uid14,7,100,0,0,0,0
uid4,7,30,60,10,0,0
uid18,7,0,100,0,0,0
uid12,7,80,20,0,0,0
uid17,7,0,20,60,20,0
uid9,7,95,5,0,0,0
uid2,7,0,100,0,0,0
uid16,7,75,25,0,0,0
uid8,7,100,0,0,0,0
uid13,7,0,100,0,0,0
uid11,7,90,10,0,0,0
uid15,7,100,0,0,0,0
uid19,7,80,20,0,0,0
uid5,1,100,0,0,0,0
uid6,1,90,10,0,0,0
uid5,7,100,0,0,0,0
uid10,7,70,30,0,0,0
uid1,1,75,15,10,0,0
uid6,7,90,10,0,0,0
uid1,7,85,10,5,0,0
uid3,2,0,100,0,0,0
uid18,2,0,25,75,0,0
uid2,2,0,100,0,0,0
uid13,2,0,100,0,0,0
uid15,2,0,100,0,0,0
uid16,2,10,90,0,0,0
uid20,2,100,0,0,0,0
uid4,2,0,80,10,0,10
uid8,2,10,90,0,0,0
uid9,2,95,5,0,0,0
uid19,2,80,20,0,0,0
uid14,2,100,0,0,0,0
uid12,2,90,10,0,0,0
uid5,2,0,50,50,0,0
uid6,2,5,80,15,0,0
uid1,2,15,80,5,0,0
uid21,2,90,10,0,0,0
uid7,7,100,0,0,0,0
uid7,2,3,95,2,0,0
uid17,2,0,50,50,0,0
uid11,2,90,10,0,0,0
uid10,2,30,70,0,0,0
