username,group_number,outstanding,very_good,good,fair,needs_improvement
uid1,1,30,40,25,5,0
uid2,1,10,80,10,0,0
uid4,1,30,50,20,0,0
uid6,1,10,85,5,0,0
uid5,1,90,10,0,0,0
uid3,1,50,50,0,0,0
uid7,1,5,90,5,0,0
uid4,2,20,30,50,0,0
uid5,2,20,50,30,0,0
uid2,2,70,30,0,0,0
uid1,2,50,40,10,0,0
uid3,2,70,30,0,0,0
uid6,2,10,30,60,0,0
uid7,2,10,90,0,0,0
uid4,3,0,30,70,0,0
uid1,3,20,60,20,0,0
uid3,3,70,30,0,0,0
uid5,3,50,50,0,0,0
uid2,3,20,30,50,0,0
uid6,3,60,30,10,0,0
uid7,3,90,5,5,0,0
uid4,4,10,70,20,0,0
uid5,4,50,50,0,0,0
uid1,4,90,10,0,0,0
uid2,4,0,50,50,0,0
uid6,4,20,60,20,0,0
uid3,4,50,50,0,0,0
uid7,4,95,5,0,0,0
uid6,5,0,0,40,50,10
uid5,5,0,0,0,50,50
uid1,5,20,50,30,0,0
uid2,5,0,0,50,50,0
uid4,5,0,10,80,10,0
uid7,5,0,85,15,0,0
uid4,6,40,60,0,0,0
uid2,6,80,20,0,0,0
uid5,6,100,0,0,0,0
uid3,5,0,50,50,0,0
uid1,6,90,10,0,0,0
uid7,6,100,0,0,0,0
uid3,6,50,50,0,0,0
uid6,6,100,0,0,0,0
