username,group_number,outstanding,very_good,good,fair,needs_improvement
uid10,1,10,80,10,0,0
uid5,1,33,34,33,0,0
uid14,1,90,10,0,0,0
uid11,1,90,10,0,0,0
uid6,1,100,0,0,0,0
uid7,1,40,50,10,0,0
uid1,1,90,10,0,0,0
uid13,4,25,50,20,5,0
uid8,1,50,50,0,0,0
uid12,1,70,30,0,0,0
uid2,1,70,30,0,0,0
uid3,1,70,30,0,0,0
uid13,1,25,50,20,5,0
uid5,2,20,40,40,0,0
uid10,2,10,70,20,0,0
uid6,2,50,50,0,0,0
uid3,2,50,50,0,0,0
uid8,2,50,50,0,0,0
uid7,2,0,50,50,0,0
uid13,2,10,50,30,10,0
uid12,2,40,60,0,0,0
uid2,2,60,40,0,0,0
uid11,2,80,20,0,0,0
uid14,2,10,90,0,0,0
uid4,1,0,50,50,0,0
uid9,2,10,60,30,0,0
uid5,3,40,40,20,0,0
uid10,3,10,60,30,0,0
uid14,3,0,90,10,0,0
uid11,3,40,50,10,0,0
uid9,3,30,50,20,0,0
uid7,3,0,50,50,0,0
uid8,3,100,0,0,0,0
uid6,3,20,30,50,0,0
uid9,1,50,40,10,0,0
uid4,3,0,30,70,0,0
uid13,3,10,50,40,0,0
uid12,3,80,20,0,0,0
uid2,3,30,60,10,0,0
uid3,3,90,10,0,0,0
uid1,3,100,0,0,0,0
uid1,2,90,10,0,0,0
uid4,2,0,80,20,0,0
uid5,4,50,50,0,0,0
uid14,4,90,10,0,0,0
uid7,4,10,80,10,0,0
uid9,4,70,30,0,0,0
uid8,4,100,0,0,0,0
uid4,4,20,80,0,0,0
uid6,4,80,20,0,0,0
uid11,4,10,80,10,0,0
uid2,4,80,20,0,0,0
uid10,4,10,80,10,0,0
uid1,4,90,10,0,0,0
uid3,4,30,60,10,0,0
uid7,5,70,30,0,0,0
uid4,5,30,70,0,0,0
uid9,5,80,20,0,0,0
uid13,5,10,70,20,0,0
uid2,5,95,5,0,0,0
uid8,5,100,0,0,0,0
uid3,5,50,50,0,0,0
uid10,5,50,50,0,0,0
uid6,5,80,20,0,0,0
uid14,5,100,0,0,0,0
uid1,5,100,0,0,0,0
uid11,5,50,40,10,0,0
uid12,4,70,30,0,0,0
uid5,5,60,40,0,0,0
uid5,6,33,34,33,0,0
uid10,6,0,80,20,0,0
uid2,6,0,80,20,0,0
uid7,6,60,40,0,0,0
uid8,6,50,50,0,0,0
uid12,6,80,20,0,0,0
uid9,6,20,60,20,0,0
uid11,6,40,50,10,0,0
uid12,5,50,50,0,0,0
uid13,6,5,50,40,5,0
uid3,6,60,40,0,0,0
uid4,6,0,50,50,0,0
uid14,6,0,85,15,0,0
uid6,6,20,80,0,0,0
uid1,6,90,10,0,0,0
uid14,7,15,85,0,0,0
uid2,7,30,70,0,0,0
uid3,7,70,30,0,0,0
uid7,7,0,50,50,0,0
uid5,7,20,40,40,0,0
uid8,7,75,25,0,0,0
uid1,7,90,10,0,0,0
uid12,7,70,30,0,0,0
uid13,7,5,80,15,0,0
uid4,7,0,50,50,0,0
uid9,7,40,50,10,0,0
uid11,7,30,60,10,0,0
uid6,7,20,50,30,0,0
uid10,7,10,80,10,0,0
uid10,8,0,60,40,0,0
uid5,8,0,33,34,33,0
uid4,8,0,0,100,0,0
uid11,8,0,20,80,0,0
uid7,8,30,70,0,0,0
uid8,8,50,25,25,0,0
uid9,8,5,60,35,0,0
uid12,8,50,50,0,0,0
uid13,8,5,70,25,0,0
uid14,8,0,20,80,0,0
uid6,8,10,40,50,0,0
uid1,8,70,20,10,0,0
uid2,8,0,90,10,0,0
uid7,9,0,0,20,80,0
uid3,8,20,70,10,0,0
uid8,9,0,20,80,0,0
uid14,9,10,90,0,0,0
uid6,9,0,0,60,40,0
uid10,9,0,60,40,0,0
uid2,9,0,40,60,0,0
uid13,9,0,10,50,40,0
uid5,9,0,0,0,30,70
uid11,9,10,20,70,0,0
uid4,9,0,0,100,0,0
uid12,9,30,50,20,0,0
uid3,9,40,60,0,0,0
uid9,9,0,30,70,0,0
uid1,9,40,40,20,0,0
