username,list_rank,number_questions,list_rank2
uid9,"[(8, 5), (5, 4), (6, 4), (1, 3), (4, 3), (7, 3), (9, 2), (2, 2), (3, 1)]",5,"[8, 5, 6, 1, 4, 7, 9, 2, 3]"
uid6,"[(1, 5), (4, 5), (8, 5), (7, 4), (3, 4), (2, 3), (6, 3), (9, 3), (5, 2)]",7,"[1, 4, 8, 7, 3, 2, 6, 9, 5]"
uid7,"[(1, 5), (8, 5), (4, 5), (7, 5), (9, 4), (6, 4), (2, 4), (3, 4), (5, 4)]",10,"[1, 8, 4, 7, 9, 6, 2, 3, 5]"
uid17,"[(8, 5), (7, 5), (4, 5), (3, 4), (1, 4), (6, 4), (9, 4), (2, 4), (5, 4)]",14,"[8, 7, 4, 3, 1, 6, 9, 2, 5]"
uid14,"[(8, 5), (5, 5), (6, 5), (2, 5), (7, 4), (4, 4), (1, 4), (3, 4), (9, 3)]",6,"[8, 5, 6, 2, 7, 4, 1, 3, 9]"
uid8,"[(2, 5), (8, 5), (9, 4), (6, 4), (3, 4), (1, 3), (7, 3), (5, 3), (4, 2)]",6,"[2, 8, 9, 6, 3, 1, 7, 5, 4]"
uid4,"[(3, 5), (7, 5), (8, 4), (9, 4), (6, 4), (2, 3), (5, 3), (4, 3), (1, 3)]",9,"[3, 7, 8, 9, 6, 2, 5, 4, 1]"
uid12,"[(2, 5), (6, 5), (9, 5), (8, 5), (7, 4), (3, 4), (5, 4), (1, 3), (4, 3)]",9,"[2, 6, 9, 8, 7, 3, 5, 1, 4]"
uid21,"[(8, 5), (7, 5), (4, 5), (1, 4), (6, 4), (9, 4), (5, 4), (2, 3), (3, 3)]",9,"[8, 7, 4, 1, 6, 9, 5, 2, 3]"
uid10,"[(6, 5), (1, 5), (4, 5), (3, 5), (8, 4), (7, 4), (9, 4), (2, 4), (5, 4)]",10,"[6, 1, 4, 3, 8, 7, 9, 2, 5]"
uid18,"[(8, 5), (7, 5), (3, 5), (4, 4), (6, 4), (9, 4), (1, 4), (2, 4), (5, 3)]",9,"[8, 7, 3, 4, 6, 9, 1, 2, 5]"
uid1,"[(3, 5), (7, 4), (6, 4), (9, 3), (8, 3), (1, 3), (4, 3), (2, 3), (5, 3)]",9,"[3, 7, 6, 9, 8, 1, 4, 2, 5]"
uid15,"[(9, 5), (8, 5), (3, 5), (7, 4), (6, 4), (4, 4), (1, 4), (2, 3), (5, 3)]",6,"[9, 8, 3, 7, 6, 4, 1, 2, 5]"
uid2,"[(9, 5), (3, 5), (8, 4), (5, 4), (2, 4), (4, 4), (7, 3), (1, 3), (6, 3)]",6,"[9, 3, 8, 5, 2, 4, 7, 1, 6]"
uid19,"[(4, 5), (8, 5), (7, 5), (1, 5), (6, 5), (9, 5), (3, 4), (5, 4), (2, 3)]",13,"[4, 8, 7, 1, 6, 9, 3, 5, 2]"
uid3,"[(6, 5), (8, 5), (1, 5), (2, 5), (3, 4), (7, 4), (4, 4), (5, 3), (9, 3)]",8,"[6, 8, 1, 2, 3, 7, 4, 5, 9]"
uid16,"[(7, 5), (8, 5), (4, 4), (2, 4), (3, 4), (5, 3), (6, 3), (1, 3), (9, 3)]",9,"[7, 8, 4, 2, 3, 5, 6, 1, 9]"
uid11,"[(6, 5), (8, 5), (3, 5), (1, 5), (2, 4), (4, 4), (7, 4), (5, 3), (9, 3)]",8,"[6, 8, 3, 1, 2, 4, 7, 5, 9]"
uid20,"[(8, 5), (7, 5), (3, 5), (2, 4), (1, 4), (6, 4), (5, 4), (4, 4), (9, 3)]",11,"[8, 7, 3, 2, 1, 6, 5, 4, 9]"
uid13,"[(7, 5), (8, 5), (6, 4), (4, 4), (1, 4), (3, 3), (2, 3), (5, 3), (9, 3)]",9,"[7, 8, 6, 4, 1, 3, 2, 5, 9]"
uid5,"[(4, 5), (1, 5), (8, 5), (7, 5), (6, 5), (5, 5), (3, 4), (9, 4), (2, 4)]",15,"[4, 1, 8, 7, 6, 5, 3, 9, 2]"
