username,list_rank,number_questions,list_rank2
uid15,"[(7, 5), (4, 4), (1, 4), (9, 3), (6, 3), (2, 3), (3, 2), (5, 2), (8, 2)]",6,"[7, 4, 1, 9, 6, 2, 3, 5, 8]"
uid1,"[(4, 5), (7, 5), (9, 4), (6, 4), (2, 4), (3, 4), (1, 4), (8, 3), (5, 3)]",7,"[4, 7, 9, 6, 2, 3, 1, 8, 5]"
uid11,"[(9, 5), (6, 5), (7, 4), (1, 4), (4, 4), (2, 3), (3, 3), (5, 2), (8, 1)]",4,"[9, 6, 7, 1, 4, 2, 3, 5, 8]"
uid3,"[(7, 5), (6, 4), (2, 4), (9, 4), (3, 4), (1, 4), (4, 3), (8, 3), (5, 3)]",10,"[7, 6, 2, 9, 3, 1, 4, 8, 5]"
uid12,"[(7, 5), (4, 5), (1, 4), (2, 4), (6, 4), (9, 4), (3, 3), (8, 2), (5, 2)]",8,"[7, 4, 1, 2, 6, 9, 3, 8, 5]"
uid16,"[(1, 5), (4, 5), (7, 4), (6, 4), (3, 4), (2, 4), (9, 4), (8, 3), (5, 2)]",8,"[1, 4, 7, 6, 3, 2, 9, 8, 5]"
uid9,"[(7, 5), (6, 5), (4, 4), (9, 4), (2, 4), (5, 3), (1, 3), (3, 3), (8, 3)]",8,"[7, 6, 4, 9, 2, 5, 1, 3, 8]"
uid8,"[(7, 5), (4, 5), (2, 5), (9, 4), (6, 4), (1, 4), (3, 3), (5, 3), (8, 3)]",7,"[7, 4, 2, 9, 6, 1, 3, 5, 8]"
uid5,"[(7, 5), (3, 5), (2, 4), (1, 4), (9, 4), (6, 4), (4, 3), (5, 3), (8, 2)]",8,"[7, 3, 2, 1, 9, 6, 4, 5, 8]"
uid18,"[(7, 4), (6, 4), (9, 4), (4, 4), (2, 4), (1, 3), (3, 3), (5, 3), (8, 3)]",12,"[7, 6, 9, 4, 2, 1, 3, 5, 8]"
uid4,"[(8, 5), (2, 5), (1, 5), (9, 5), (7, 5), (6, 5), (3, 5), (4, 4), (5, 3)]",14,"[8, 2, 1, 9, 7, 6, 3, 4, 5]"
uid10,"[(2, 5), (6, 5), (8, 5), (3, 5), (9, 5), (7, 4), (1, 4), (4, 4), (5, 3)]",11,"[2, 6, 8, 3, 9, 7, 1, 4, 5]"
uid7,"[(6, 4), (1, 4), (8, 4), (9, 4), (7, 4), (2, 3), (3, 3), (4, 3), (5, 3)]",16,"[6, 1, 8, 9, 7, 2, 3, 4, 5]"
uid2,"[(2, 5), (7, 5), (4, 5), (6, 5), (1, 4), (9, 4), (8, 4), (3, 3), (5, 3)]",9,"[2, 7, 4, 6, 1, 9, 8, 3, 5]"
uid17,"[(7, 5), (2, 5), (9, 4), (4, 4), (6, 4), (1, 4), (5, 3), (8, 3), (3, 2)]",6,"[7, 2, 9, 4, 6, 1, 5, 8, 3]"
uid13,"[(5, 5), (4, 5), (9, 5), (1, 5), (7, 5), (3, 4), (6, 4), (8, 4), (2, 3)]",9,"[5, 4, 9, 1, 7, 3, 6, 8, 2]"
uid6,"[(7, 5), (2, 5), (6, 4), (9, 4), (4, 4), (1, 4), (3, 4), (8, 3), (5, 3)]",7,"[7, 2, 6, 9, 4, 1, 3, 8, 5]"
uid14,"[(4, 5), (7, 5), (9, 4), (2, 4), (3, 4), (1, 4), (6, 4), (8, 3), (5, 3)]",9,"[4, 7, 9, 2, 3, 1, 6, 8, 5]"
