username,list_rank,number_questions,list_rank2
uid11,"[(6, 5), (5, 5), (9, 5), (7, 5), (2, 5), (3, 5), (4, 5), (8, 4), (1, 4), (10, 4)]",14,"[6, 5, 9, 7, 2, 3, 4, 8, 1, 10]"
uid12,"[(9, 5), (7, 5), (2, 5), (5, 5), (6, 4), (1, 3), (3, 3), (4, 3), (8, 3), (10, 2)]",9,"[9, 7, 2, 5, 6, 1, 3, 4, 8, 10]"
uid3,"[(9, 5), (6, 5), (5, 5), (1, 5), (3, 5), (7, 4), (2, 4), (10, 4), (4, 4), (8, 4)]",12,"[9, 6, 5, 1, 3, 7, 2, 10, 4, 8]"
uid6,"[(6, 5), (1, 5), (8, 5), (5, 5), (9, 4), (3, 4), (2, 4), (10, 4), (7, 4), (4, 4)]",17,"[6, 1, 8, 5, 9, 3, 2, 10, 7, 4]"
uid24,"[(3, 5), (1, 5), (9, 5), (6, 5), (5, 4), (8, 3), (2, 3), (4, 3), (7, 3), (10, 2)]",10,"[3, 1, 9, 6, 5, 8, 2, 4, 7, 10]"
uid7,"[(8, 5), (5, 5), (2, 5), (4, 4), (7, 4), (1, 4), (9, 4), (3, 4), (10, 4), (6, 3)]",15,"[8, 5, 2, 4, 7, 1, 9, 3, 10, 6]"
uid14,"[(2, 5), (9, 5), (7, 5), (5, 5), (8, 4), (3, 4), (6, 3), (4, 3), (1, 3), (10, 2)]",8,"[2, 9, 7, 5, 8, 3, 6, 4, 1, 10]"
uid22,"[(9, 5), (5, 5), (2, 5), (7, 4), (4, 4), (1, 3), (3, 3), (8, 2), (10, 2), (6, 2)]",7,"[9, 5, 2, 7, 4, 1, 3, 8, 10, 6]"
uid17,"[(9, 5), (2, 5), (7, 5), (1, 4), (8, 3), (5, 3), (4, 3), (6, 3), (10, 3), (3, 3)]",13,"[9, 2, 7, 1, 8, 5, 4, 6, 10, 3]"
uid19,"[(1, 5), (7, 5), (8, 5), (3, 5), (10, 4), (9, 4), (6, 4), (4, 3), (2, 3), (5, 3)]",11,"[1, 7, 8, 3, 10, 9, 6, 4, 2, 5]"
uid23,"[(8, 5), (9, 5), (7, 4), (10, 4), (6, 4), (5, 4), (1, 4), (2, 4), (3, 4), (4, 3)]",9,"[8, 9, 7, 10, 6, 5, 1, 2, 3, 4]"
uid20,"[(5, 5), (6, 5), (1, 5), (4, 4), (8, 4), (2, 4), (3, 4), (9, 4), (10, 4), (7, 3)]",16,"[5, 6, 1, 4, 8, 2, 3, 9, 10, 7]"
uid8,"[(3, 5), (9, 5), (6, 5), (1, 5), (7, 4), (5, 4), (4, 3), (8, 3), (10, 3), (2, 3)]",12,"[3, 9, 6, 1, 7, 5, 4, 8, 10, 2]"
uid9,"[(1, 5), (3, 5), (7, 5), (9, 4), (6, 4), (8, 4), (10, 4), (2, 3), (4, 3), (5, 3)]",10,"[1, 3, 7, 9, 6, 8, 10, 2, 4, 5]"
uid10,"[(6, 5), (5, 5), (10, 5), (2, 5), (7, 5), (9, 4), (1, 4), (3, 4), (4, 4), (8, 4)]",15,"[6, 5, 10, 2, 7, 9, 1, 3, 4, 8]"
uid1,"[(7, 5), (2, 5), (9, 4), (5, 4), (1, 4), (4, 4), (8, 3), (10, 3), (6, 3), (3, 3)]",8,"[7, 2, 9, 5, 1, 4, 8, 10, 6, 3]"
uid18,"[(5, 5), (1, 5), (10, 4), (9, 4), (7, 4), (2, 4), (3, 4), (8, 4), (4, 3), (6, 3)]",9,"[5, 1, 10, 9, 7, 2, 3, 8, 4, 6]"
uid15,"[(9, 5), (2, 5), (1, 5), (7, 4), (4, 4), (5, 4), (3, 4), (6, 3), (8, 3), (10, 2)]",7,"[9, 2, 1, 7, 4, 5, 3, 6, 8, 10]"
uid5,"[(8, 5), (1, 5), (5, 5), (3, 5), (9, 5), (7, 4), (4, 3), (2, 3), (6, 3), (10, 3)]",14,"[8, 1, 5, 3, 9, 7, 4, 2, 6, 10]"
uid2,"[(9, 5), (8, 5), (5, 5), (2, 5), (1, 4), (6, 3), (4, 3), (3, 3), (7, 2), (10, 2)]",7,"[9, 8, 5, 2, 1, 6, 4, 3, 7, 10]"
uid21,"[(5, 5), (2, 5), (7, 5), (9, 5), (4, 5), (1, 5), (10, 4), (8, 4), (3, 4), (6, 4)]",13,"[5, 2, 7, 9, 4, 1, 10, 8, 3, 6]"
uid4,"[(3, 5), (1, 5), (8, 5), (2, 5), (9, 4), (5, 4), (7, 4), (4, 4), (6, 4), (10, 4)]",14,"[3, 1, 8, 2, 9, 5, 7, 4, 6, 10]"
uid13,"[(7, 5), (4, 5), (2, 5), (8, 4), (9, 4), (6, 4), (3, 4), (5, 4), (1, 4), (10, 3)]",9,"[7, 4, 2, 8, 9, 6, 3, 5, 1, 10]"
uid16,"[(1, 5), (9, 5), (3, 5), (7, 5), (5, 5), (2, 5), (10, 4), (4, 4), (8, 4), (6, 4)]",15,"[1, 9, 3, 7, 5, 2, 10, 4, 8, 6]"
