username,Duration (in seconds),age,gender,satf1,satf2,satf3,satf4,satf5,satf6,iol1,iol2,iol3,iol4,imn1,imn2,imn3,imn4,fatig1,fatig2,fatig3,fatig4,fatig5
uid1,380,20.0,F,1,2,1,2,3,3,3,3,2,3,2,1,1,2,3,2,2,1,2
uid2,229,25.0,F,2,2,2,4,4,4,3,2,2,3,2,4,2,2,3,2,2,2,1
uid3,170,26.0,F,2,2,4,4,2,2,2,2,2,2,2,3,4,2,6,2,5,3,3
uid4,194,22.5,F,1,1,1,4,1,2,3,2,2,3,1,1,1,4,7,7,1,1,1
uid5,223,23.0,M,2,1,1,3,1,3,5,3,2,3,2,4,2,4,3,3,2,2,2
uid7,249,47.0,M,1,1,1,5,2,5,2,6,2,6,1,1,1,4,6,6,2,1,1
uid8,182,22.0,F,2,2,2,5,1,4,3,2,2,3,2,2,2,4,3,2,5,2,3
uid9,491,21.0,F,1,1,2,4,1,5,3,4,2,4,3,2,2,3,3,3,2,1,3
uid10,492,23.0,F,2,2,1,4,2,4,6,5,3,5,2,2,1,4,6,5,2,5,2
uid12,4227,28.0,M,2,2,4,5,1,4,2,3,3,2,2,3,2,2,5,4,2,2,3
uid13,325,25.0,M,2,2,1,5,2,4,3,2,6,3,2,2,2,2,6,6,2,3,3
uid14,684,26.0,F,1,1,1,3,2,3,3,2,3,5,2,3,1,3,3,3,2,2,3
