username,Duration (in seconds),age_bin,gender,satf1,satf2,satf3,satf4,satf5,satf6,iol1,iol2,iol3,iol4,imn1,imn2,imn3,imn4,fatig1,fatig2,fatig3,fatig4,fatig5
uid21,110,21-25,F,1,1,1,4,1,4,7,3,2,7,2,2,1,7,7,6,1,1,1
uid12,105,21-25,F,7,7,7,4,6,2,4,3,3,3,2,4,1,4,6,3,1,1,2
uid11,137,21-25,F,1,1,1,7,6,7,5,6,3,3,2,2,2,2,5,7,1,1,1
uid17,136,21-25,M,1,1,1,7,2,6,6,5,6,3,2,2,4,4,6,6,2,1,2
uid6,139,under 21,M,2,2,1,4,1,4,7,7,3,3,1,2,4,2,4,3,3,1,2
uid8,142,21-25,F,1,1,1,6,6,6,3,3,6,3,2,1,2,1,6,3,1,1,2
uid18,153,21-25,F,1,1,1,6,6,6,5,5,6,6,2,2,2,6,7,3,2,5,2
uid16,146,21-25,F,1,1,2,7,4,4,3,6,5,5,2,1,1,6,6,3,2,1,2
uid19,139,21-25,F,1,1,1,6,2,6,6,5,3,3,2,1,1,4,7,4,1,1,2
uid3,150,21-25,F,6,2,1,6,2,7,3,3,6,5,2,2,2,6,5,5,1,2,2
uid4,159,21-25,F,1,1,1,7,7,6,3,3,5,3,2,4,2,2,5,4,3,2,3
uid9,161,26-30,F,1,1,1,6,4,1,2,3,2,2,1,2,1,6,3,6,1,1,3
uid14,162,26-30,F,1,1,1,7,2,2,3,6,7,3,2,6,2,6,6,2,3,5,2
uid7,167,under 21,M,1,1,1,7,2,4,5,6,6,3,1,2,1,7,6,6,1,6,1
uid1,164,21-25,F,1,1,1,6,2,2,3,3,5,3,2,6,2,6,5,3,2,2,2
uid5,170,21-25,F,1,1,1,7,6,7,3,3,3,3,2,6,1,2,6,2,2,2,2
uid2,151,21-25,M,2,1,1,7,2,7,2,1,4,1,2,2,1,6,3,1,3,2,3
uid15,178,21-25,M,2,6,2,6,2,1,3,3,6,3,1,1,2,7,3,2,3,1,2
uid13,151,21-25,F,7,7,7,7,7,6,3,6,2,3,2,1,1,6,5,3,3,1,2
uid20,208,21-25,F,1,2,1,4,1,2,2,2,2,2,2,4,2,6,3,3,2,2,2
uid10,299,21-25,M,1,1,1,7,4,6,3,5,5,6,2,2,2,6,6,6,1,1,1
