username,Duration (in seconds),age,gender,satf1,satf2,satf3,satf4,satf5,satf6,iol1,iol2,iol3,iol4,imn1,imn2,imn3,imn4,fatig1,fatig2,fatig3,fatig4,fatig5
uid22,84,24.0,M,6,1,1,6,6,7,5,3,3,5,2,6,1,6,3,4,4,3,2
uid9,108,24.0,M,1,1,1,7,2,2,2,2,3,3,2,2,2,2,3,4,1,2,3
uid12,129,23.0,F,1,1,1,2,2,1,3,6,2,3,2,6,1,1,6,2,2,1,2
uid1,147,26.0,M,1,1,1,2,1,2,7,3,6,6,1,2,1,1,6,6,2,6,2
uid8,149,24.0,F,1,4,1,7,4,7,3,3,3,2,4,6,2,2,7,5,2,1,2
uid5,133,25.0,M,2,1,1,7,1,7,5,2,3,3,2,1,1,6,4,3,1,1,2
uid6,161,26.0,F,1,2,1,6,1,1,3,2,2,2,1,4,1,6,5,3,3,2,2
uid14,161,23.0,F,2,1,2,6,2,4,3,2,3,3,4,4,4,2,4,4,2,2,1
uid18,170,25.0,F,6,2,1,2,1,2,3,2,2,3,2,1,1,2,5,2,2,2,2
uid16,174,23.0,F,1,2,1,2,2,2,6,6,3,5,4,2,2,6,6,6,1,1,1
uid17,182,26.0,M,1,1,1,6,2,6,6,2,3,5,2,1,2,6,6,6,1,5,1
uid2,200,24.0,F,1,1,1,6,4,2,6,6,7,5,2,2,1,6,6,6,1,1,1
uid3,199,21.0,F,1,1,1,7,2,6,3,5,5,3,6,2,2,6,6,5,1,4,2
uid15,197,26.0,M,1,1,1,6,2,4,2,1,3,5,1,2,2,4,5,5,1,2,2
uid20,222,25.0,F,2,1,1,2,6,6,7,3,3,3,2,1,1,7,6,3,3,2,1
uid4,230,25.0,M,1,2,1,7,1,7,6,6,6,6,1,1,1,4,6,2,1,1,1
uid7,248,23.0,F,1,1,2,6,2,4,3,3,2,3,4,6,2,6,5,5,1,1,1
uid10,148,25.0,F,1,1,1,7,6,7,7,7,7,7,2,2,2,6,7,3,2,3,2
uid13,296,23.0,F,1,2,1,4,2,4,3,6,6,6,1,2,1,6,3,4,2,1,2
uid19,300,24.0,F,1,2,1,4,2,4,5,3,3,6,2,2,1,6,6,6,1,1,1
uid11,125,23.0,F,2,2,1,6,4,4,2,2,4,1,2,2,1,6,6,3,2,2,3
uid21,425,23.0,F,1,1,1,2,1,4,3,3,4,4,2,1,2,6,6,4,1,1,1
