username,Duration (in seconds),age_bin,gender,satf1,satf2,satf3,satf4,satf5,satf6,iol1,iol2,iol3,iol4,imn1,imn2,imn3,imn4,fatig1,fatig2,fatig3,fatig4,fatig5
uid3,104,26-30,M,1,1,2,6,6,7,6,6,5,3,2,1,6,1,6,5,2,1,1
uid12,112,21-25,M,1,1,1,7,1,7,6,6,3,5,1,1,1,6,6,6,2,2,1
uid6,139,26-30,F,2,2,1,6,1,4,2,1,2,1,4,2,1,2,6,5,2,2,1
uid5,124,21-25,F,1,1,1,7,1,7,6,3,7,5,1,4,1,6,6,5,2,1,2
uid19,145,21-25,M,1,1,1,4,1,4,3,1,3,3,2,2,2,6,5,6,5,2,2
uid13,148,21-25,F,2,2,1,6,2,6,6,3,6,5,6,4,2,6,6,3,2,3,3
uid20,158,21-25,F,1,1,1,7,2,6,6,3,2,5,6,6,7,1,6,2,2,2,3
uid10,130,21-25,M,1,1,1,7,2,7,4,4,6,6,2,2,1,6,6,6,1,1,1
uid4,149,21-25,F,1,1,1,7,4,7,7,5,7,7,1,1,1,1,7,7,1,4,1
uid1,168,26-30,F,1,1,2,7,4,4,7,5,5,6,2,1,2,4,6,6,2,5,2
uid17,143,21-25,M,2,2,2,7,1,7,3,2,4,3,2,6,1,2,6,6,2,1,2
uid14,180,21-25,M,1,2,2,7,2,7,2,3,3,2,2,1,2,2,3,3,2,2,2
uid16,214,21-25,M,6,2,2,6,4,6,6,3,5,4,7,6,2,2,6,5,3,2,1
uid2,200,21-25,F,2,2,1,6,2,6,2,6,2,3,2,2,2,2,6,6,2,5,1
uid11,210,21-25,F,1,1,2,7,1,6,3,3,3,2,1,4,1,6,6,6,1,1,2
uid9,185,21-25,M,1,1,2,6,2,2,6,6,6,5,2,2,2,6,6,5,2,1,2
uid15,218,26-30,M,2,2,2,7,2,7,6,6,3,3,2,2,2,6,6,2,2,2,1
uid7,288,21-25,F,1,2,1,7,1,2,3,3,6,3,1,1,1,7,7,3,1,1,1
uid18,337,21-25,F,2,2,2,7,6,6,7,5,3,3,6,4,2,2,3,3,2,2,2
uid8,344,26-30,M,2,1,1,7,2,4,6,6,6,5,2,2,1,6,6,5,2,2,3
