username,Duration (in seconds),age_bin,gender,satf1,satf2,satf3,satf4,satf5,satf6,iol1,iol2,iol3,iol4,imn1,imn2,imn3,imn4,fatig1,fatig2,fatig3,fatig4,fatig5
uid6,112,21-25,M,2,1,1,6,2,6,6,6,5,6,2,2,2,2,6,5,1,2,2
uid15,120,21-25,M,2,1,4,4,2,4,3,3,2,1,2,2,4,2,3,4,4,4,3
uid12,140,26-30,M,2,2,1,4,1,1,3,3,3,4,2,2,2,2,5,4,3,3,3
uid10,119,26-30,M,1,1,2,4,1,2,3,2,2,1,4,2,2,1,3,3,5,2,1
uid2,152,21-25,M,1,1,1,7,4,4,6,3,2,3,2,2,1,6,5,3,2,1,2
uid11,150,21-25,M,1,1,1,7,4,7,3,4,6,3,2,2,1,6,3,3,2,2,2
uid13,173,21-25,M,2,1,1,6,1,4,5,2,2,2,2,4,1,2,3,2,2,2,2
uid14,175,21-25,F,1,1,1,7,2,6,3,4,3,3,2,2,2,2,6,3,2,3,2
uid4,197,26-30,M,1,1,1,6,2,6,4,6,6,3,2,2,2,4,3,4,3,3,2
uid5,193,21-25,M,6,6,2,7,2,7,2,2,5,2,2,2,4,2,3,2,3,2,2
uid17,149,21-25,M,1,1,1,7,2,6,6,6,4,5,2,2,1,6,6,3,2,1,1
uid9,186,21-25,F,1,1,2,6,4,6,3,4,5,3,2,2,2,2,6,5,2,2,1
uid7,239,21-25,F,1,1,1,4,2,4,6,3,2,3,1,1,1,2,6,2,2,1,1
uid3,150,21-25,M,1,4,1,6,2,2,3,3,3,2,2,1,2,4,5,3,3,2,2
uid1,213,21-25,M,2,2,1,7,6,7,6,6,6,3,2,2,1,2,5,3,2,2,2
uid19,196,21-25,F,1,2,1,7,1,7,5,3,2,3,2,4,2,2,7,3,1,1,2
uid16,216,21-25,M,1,1,1,4,2,2,5,6,3,3,4,1,1,4,3,3,2,2,2
uid20,205,21-25,F,1,1,1,6,2,6,6,5,5,3,2,1,2,2,6,6,1,2,1
uid21,268,21-25,M,1,2,1,2,4,4,3,1,3,2,2,1,1,4,3,3,2,1,2
uid18,175,21-25,M,1,1,2,2,2,1,2,1,2,2,4,4,1,2,3,2,3,2,1
