username,group_number,outstanding,very_good,good,fair,needs_improvement
uid12,3,40,40,20,0,0
uid14,3,50,50,0,0,0
uid2,3,0,50,25,25,0
uid15,3,0,0,0,80,20
uid17,3,70,30,0,0,0
uid19,3,0,25,50,25,0
uid20,3,0,25,50,25,0
uid16,3,0,10,80,10,0
uid18,3,0,0,100,0,0
uid13,3,0,20,70,10,0
uid6,3,10,10,50,20,10
uid22,3,0,25,65,10,0
uid21,3,0,50,50,0,0
uid9,3,0,10,90,0,0
uid23,3,0,5,25,50,20
uid11,3,0,50,50,0,0
uid1,3,10,80,10,0,0
uid7,3,0,30,70,0,0
uid10,3,0,35,65,0,0
uid5,3,20,20,60,0,0
uid3,3,0,20,80,0,0
uid13,10,80,20,0,0,0
uid6,10,20,60,20,0,0
uid16,10,0,3,80,17,0
uid14,10,100,0,0,0,0
uid18,10,0,30,70,0,0
uid12,10,80,20,0,0,0
uid1,10,70,20,10,0,0
uid15,10,90,5,5,0,0
uid5,10,30,50,20,0,0
uid23,10,5,35,40,20,0
uid11,10,0,50,50,0,0
uid17,10,50,50,0,0,0
uid22,10,75,25,0,0,0
uid10,10,70,30,0,0,0
uid21,10,50,50,0,0,0
uid9,10,5,80,15,0,0
uid8,3,0,50,50,0,0
uid19,10,100,0,0,0,0
uid2,10,25,75,0,0,0
uid7,10,0,80,20,0,0
uid20,10,100,0,0,0,0
uid18,8,0,70,30,0,0
uid9,8,90,10,0,0,0
uid14,8,100,0,0,0,0
uid13,8,10,30,60,0,0
uid16,8,0,70,30,0,0
uid12,8,70,20,10,0,0
uid6,8,60,30,10,0,0
uid15,8,10,90,0,0,0
uid19,8,0,75,25,0,0
uid20,8,0,80,20,0,0
uid17,8,90,10,0,0,0
uid1,8,80,10,10,0,0
uid8,8,100,0,0,0,0
uid5,8,50,50,0,0,0
uid3,10,10,60,30,0,0
uid8,10,100,0,0,0,0
uid11,8,50,50,0,0,0
uid23,8,40,50,10,0,0
uid10,8,85,15,0,0,0
uid2,8,90,10,0,0,0
uid3,8,35,60,5,0,0
uid22,8,100,0,0,0,0
uid21,8,70,30,0,0,0
uid18,6,10,90,0,0,0
uid12,6,90,10,0,0,0
uid1,6,0,20,80,0,0
uid23,6,55,40,5,0,0
uid13,6,80,20,0,0,0
uid14,6,50,50,0,0,0
uid15,6,0,80,20,0,0
uid17,6,80,20,0,0,0
uid20,6,0,80,20,0,0
uid19,6,15,60,25,0,0
uid22,6,85,15,0,0,0
uid16,6,3,80,17,0,0
uid9,6,90,10,0,0,0
uid8,6,100,0,0,0,0
uid2,6,25,25,50,0,0
uid10,6,50,50,0,0,0
uid3,6,80,20,0,0,0
uid21,6,50,50,0,0,0
uid6,6,90,10,0,0,0
uid11,6,50,50,0,0,0
uid5,6,30,60,10,0,0
uid7,8,0,50,50,0,0
uid7,6,20,80,0,0,0
uid16,1,0,3,97,0,0
uid13,1,80,10,10,0,0
uid14,1,100,0,0,0,0
uid17,1,70,30,0,0,0
uid1,1,20,50,30,0,0
uid9,1,0,95,5,0,0
uid8,1,100,0,0,0,0
uid19,1,85,15,0,0,0
uid23,1,50,40,10,0,0
uid7,1,80,20,0,0,0
uid3,1,80,20,0,0,0
uid22,1,100,0,0,0,0
uid10,1,30,70,0,0,0
uid6,1,10,50,30,10,0
uid20,1,100,0,0,0,0
uid15,1,0,80,20,0,0
uid11,1,25,50,25,0,0
uid21,1,100,0,0,0,0
uid18,1,80,20,0,0,0
uid12,1,90,10,0,0,0
uid2,1,30,70,0,0,0
uid18,4,0,0,90,10,0
uid17,4,70,30,0,0,0
uid14,4,15,80,5,0,0
uid19,4,0,0,90,10,0
uid5,4,10,40,50,0,0
uid6,4,20,50,30,0,0
uid23,4,10,40,40,10,0
uid9,4,0,5,95,0,0
uid13,4,0,10,60,30,0
uid10,4,0,25,75,0,0
uid16,4,3,10,80,7,0
uid2,4,0,0,90,10,0
uid20,4,0,0,50,50,0
uid11,4,0,0,100,0,0
uid22,4,5,40,55,0,0
uid3,7,0,10,80,10,0
uid21,4,0,0,100,0,0
uid1,4,90,10,0,0,0
uid15,4,0,0,100,0,0
uid7,4,0,90,10,0,0
uid8,9,100,0,0,0,0
uid15,5,0,100,0,0,0
uid8,4,100,0,0,0,0
uid8,5,0,100,0,0,0
uid1,5,100,0,0,0,0
uid19,5,0,70,30,0,0
uid17,5,90,10,0,0,0
uid20,5,0,100,0,0,0
uid16,5,3,7,90,0,0
uid22,5,70,30,0,0,0
uid13,5,50,50,0,0,0
uid18,5,100,0,0,0,0
uid9,5,90,5,5,0,0
uid7,5,10,90,0,0,0
uid23,5,50,40,10,0,0
uid12,5,100,0,0,0,0
uid3,5,25,70,5,0,0
uid2,5,20,70,10,0,0
uid12,4,0,40,60,0,0
uid11,5,0,100,0,0,0
uid5,5,60,40,0,0,0
uid6,5,0,30,50,20,0
uid21,5,100,0,0,0,0
uid14,5,100,0,0,0,0
uid10,5,40,50,10,0,0
uid18,7,0,20,80,0,0
uid8,7,0,50,50,0,0
uid1,7,50,50,0,0,0
uid17,7,40,60,0,0,0
uid14,7,100,0,0,0,0
uid20,7,0,0,100,0,0
uid23,7,37,45,18,0,0
uid6,7,20,40,40,0,0
uid11,7,50,50,0,0,0
uid12,7,10,20,70,0,0
uid22,7,15,85,0,0,0
uid16,7,3,90,7,0,0
uid13,7,80,20,0,0,0
uid19,7,0,10,90,0,0
uid2,7,20,60,20,0,0
uid5,7,20,60,20,0,0
uid10,7,75,25,0,0,0
uid9,7,5,95,0,0,0
uid3,4,5,85,10,0,0
uid8,2,0,50,50,0,0
uid9,9,5,5,85,5,0
uid1,9,90,10,0,0,0
uid14,9,100,0,0,0,0
uid23,9,25,50,20,5,0
uid10,9,15,60,25,0,0
uid2,9,0,10,80,10,0
uid6,9,0,20,30,50,0
uid21,7,50,50,0,0,0
uid21,9,100,0,0,0,0
uid12,9,0,20,20,60,0
uid19,9,0,10,70,20,0
uid13,9,20,70,10,0,0
uid20,9,0,0,50,50,0
uid5,9,20,30,50,0,0
uid3,9,50,45,5,0,0
uid22,9,95,5,0,0,0
uid11,9,0,50,50,0,0
uid18,9,0,0,80,20,0
uid16,9,0,80,20,0,0
uid15,7,100,0,0,0,0
uid17,9,80,20,0,0,0
uid15,9,100,0,0,0,0
uid15,2,0,100,0,0,0
uid17,2,70,30,0,0,0
uid18,2,0,0,100,0,0
uid9,2,98,2,0,0,0
uid11,2,100,0,0,0,0
uid1,2,85,15,0,0,0
uid16,2,10,80,10,0,0
uid20,2,0,100,0,0,0
uid14,2,100,0,0,0,0
uid19,2,0,90,10,0,0
uid10,2,50,50,0,0,0
uid2,2,90,10,0,0,0
uid12,2,100,0,0,0,0
uid3,2,90,10,0,0,0
uid22,2,100,0,0,0,0
uid6,2,0,80,20,0,0
uid13,2,100,0,0,0,0
uid23,2,40,40,20,0,0
uid5,1,40,60,0,0,0
uid5,2,70,30,0,0,0
uid7,9,0,20,80,0,0
uid7,7,0,0,100,0,0
uid7,2,100,0,0,0,0
uid21,2,30,70,0,0,0
