username,group_number,outstanding,very_good,good,fair,needs_improvement
uid10,5,10,20,60,10,0
uid2,1,10,60,20,10,0
uid10,1,40,50,8,2,0
uid5,1,30,40,30,0,0
uid13,7,100,0,0,0,0
uid4,1,100,0,0,0,0
uid1,1,0,75,25,0,0
uid18,1,20,40,40,0,0
uid15,1,10,70,20,0,0
uid3,1,30,50,20,0,0
uid11,1,30,50,20,0,0
uid16,1,30,60,10,0,0
uid13,1,100,0,0,0,0
uid9,1,0,30,70,0,0
uid14,1,10,80,10,0,0
uid6,1,50,45,5,0,0
uid17,1,10,70,10,10,0
uid8,1,10,80,10,0,0
uid7,1,30,50,10,5,5
uid12,1,15,50,30,5,0
uid4,2,100,0,0,0,0
uid16,2,10,80,10,0,0
uid1,2,0,100,0,0,0
uid13,2,0,25,75,0,0
uid14,2,20,70,10,0,0
uid17,2,80,15,5,0,0
uid6,2,70,30,0,0,0
uid15,2,0,20,40,40,0
uid11,2,10,40,50,0,0
uid8,2,20,75,5,0,0
uid9,2,20,80,0,0,0
uid2,2,50,50,0,0,0
uid5,2,60,40,0,0,0
uid10,2,60,30,10,0,0
uid7,2,15,40,25,15,5
uid12,2,25,55,20,0,0
uid16,3,7,70,23,0,0
uid10,3,30,60,10,0,0
uid5,3,40,40,20,0,0
uid2,3,20,40,40,0,0
uid1,3,0,100,0,0,0
uid6,3,40,55,5,0,0
uid7,3,20,10,50,15,5
uid14,3,10,75,15,0,0
uid13,3,50,50,0,0,0
uid4,3,100,0,0,0,0
uid12,3,0,15,85,0,0
uid9,3,0,25,75,0,0
uid15,3,0,20,40,40,0
uid17,3,5,10,80,5,0
uid8,3,0,40,50,10,0
uid11,3,0,20,60,20,0
uid3,2,50,40,10,0,0
uid18,2,60,20,20,0,0
uid3,3,30,50,20,0,0
uid13,4,100,0,0,0,0
uid18,3,10,60,30,0,0
uid5,4,0,40,40,20,0
uid7,4,10,20,40,20,10
uid6,4,60,40,0,0,0
uid15,4,10,70,20,0,0
uid10,4,30,60,10,0,0
uid16,4,50,40,10,0,0
uid11,4,20,70,10,0,0
uid8,4,85,10,5,0,0
uid17,4,10,85,5,0,0
uid4,4,0,100,0,0,0
uid2,4,80,20,0,0,0
uid18,4,20,60,20,0,0
uid14,4,50,50,0,0,0
uid1,4,50,50,0,0,0
uid12,4,60,40,0,0,0
uid3,4,10,50,40,0,0
uid16,5,0,10,60,30,0
uid18,5,0,20,60,20,0
uid1,5,0,0,75,25,0
uid15,5,0,0,20,60,20
uid11,5,0,10,50,40,0
uid14,5,10,25,40,23,2
uid4,5,0,0,100,0,0
uid12,5,0,50,50,0,0
uid13,5,100,0,0,0,0
uid2,5,0,30,20,40,10
uid17,5,0,10,80,5,5
uid5,5,0,0,40,40,20
uid9,4,0,100,0,0,0
uid8,5,2,10,85,3,0
uid16,6,10,80,10,0,0
uid18,6,60,20,20,0,0
uid13,6,50,50,0,0,0
uid1,6,0,100,0,0,0
uid2,6,60,30,10,0,0
uid10,6,50,40,10,0,0
uid17,6,80,20,0,0,0
uid3,5,10,20,70,0,0
uid8,6,60,35,5,0,0
uid9,6,90,10,0,0,0
uid4,6,100,0,0,0,0
uid11,6,60,40,0,0,0
uid15,6,0,20,50,30,0
uid12,6,30,70,0,0,0
uid6,5,30,50,20,0,0
uid6,6,40,50,10,0,0
uid7,5,0,20,50,30,0
uid14,6,10,55,35,0,0
uid7,6,10,50,30,10,0
uid16,7,15,80,5,0,0
uid5,6,10,40,50,0,0
uid10,7,40,60,0,0,0
uid8,7,90,10,0,0,0
uid18,7,20,60,20,0,0
uid17,7,90,10,0,0,0
uid2,7,80,20,0,0,0
uid3,6,10,80,10,0,0
uid1,7,50,50,0,0,0
uid5,7,50,40,10,0,0
uid3,7,80,20,0,0,0
uid6,7,60,40,0,0,0
uid7,7,30,50,20,0,0
uid12,7,100,0,0,0,0
uid9,7,100,0,0,0,0
uid14,7,20,80,0,0,0
uid16,8,0,10,80,10,0
uid1,8,0,0,100,0,0
uid5,8,0,0,60,30,10
uid13,8,0,100,0,0,0
uid10,9,35,60,5,0,0
uid2,8,40,40,20,0,0
uid6,8,30,50,20,0,0
uid11,8,0,0,20,30,50
uid9,8,0,0,100,0,0
uid4,7,100,0,0,0,0
uid4,8,100,0,0,0,0
uid14,8,10,20,70,0,0
uid10,8,35,60,5,0,0
uid7,8,20,40,40,0,0
uid15,7,30,70,0,0,0
uid15,8,0,0,5,80,15
uid16,9,5,90,5,0,0
uid12,8,0,0,50,50,0
uid3,8,0,30,70,0,0
uid18,8,20,20,60,0,0
uid18,9,10,70,20,0,0
uid6,9,40,50,10,0,0
uid2,9,0,50,50,0,0
uid4,9,100,0,0,0,0
uid13,9,100,0,0,0,0
uid15,9,0,10,80,10,0
uid1,9,0,100,0,0,0
uid3,9,0,40,60,0,0
uid9,9,0,100,0,0,0
uid17,8,0,10,70,20,0
uid8,8,0,50,50,0,0
uid7,9,20,30,50,0,0
uid5,9,20,50,20,10,0
uid8,9,20,75,5,0,0
uid17,9,10,20,70,0,0
uid11,7,80,20,0,0,0
uid14,9,20,65,15,0,0
uid11,9,80,20,0,0,0
uid12,9,40,60,0,0,0
uid9,5,0,0,100,0,0
