username,list_rank,number_questions,list_rank2
uid18,"[(7, 5), (2, 5), (5, 5), (6, 5), (3, 5), (4, 5), (1, 5)]",12,"[7, 2, 5, 6, 3, 4, 1]"
uid5,"[(4, 5), (2, 5), (1, 5), (5, 4), (6, 4), (3, 4), (7, 3)]",5,"[4, 2, 1, 5, 6, 3, 7]"
uid3,"[(2, 5), (5, 5), (4, 5), (1, 5), (6, 4), (3, 3), (7, 2)]",5,"[2, 5, 4, 1, 6, 3, 7]"
uid13,"[(6, 5), (3, 5), (2, 4), (1, 4), (4, 3), (5, 3), (7, 2)]",3,"[6, 3, 2, 1, 4, 5, 7]"
uid11,"[(2, 5), (4, 5), (1, 5), (5, 4), (6, 4), (3, 4), (7, 3)]",6,"[2, 4, 1, 5, 6, 3, 7]"
uid15,"[(2, 5), (3, 4), (1, 4), (5, 3), (6, 3), (4, 3), (7, 2)]",4,"[2, 3, 1, 5, 6, 4, 7]"
uid9,"[(2, 5), (5, 5), (6, 4), (1, 4), (4, 4), (3, 3), (7, 3)]",4,"[2, 5, 6, 1, 4, 3, 7]"
uid22,"[(4, 5), (6, 4), (2, 4), (1, 4), (5, 4), (3, 3), (7, 3)]",5,"[4, 6, 2, 1, 5, 3, 7]"
uid6,"[(5, 5), (4, 5), (1, 4), (3, 4), (6, 4), (2, 4), (7, 3)]",7,"[5, 4, 1, 3, 6, 2, 7]"
uid4,"[(5, 5), (2, 5), (4, 4), (6, 4), (1, 4), (3, 4), (7, 3)]",5,"[5, 2, 4, 6, 1, 3, 7]"
uid2,"[(5, 5), (1, 5), (6, 4), (2, 4), (4, 4), (3, 3), (7, 3)]",4,"[5, 1, 6, 2, 4, 3, 7]"
uid19,"[(2, 5), (4, 5), (5, 5), (1, 5), (3, 5), (6, 4), (7, 3)]",8,"[2, 4, 5, 1, 3, 6, 7]"
uid1,"[(7, 5), (1, 5), (2, 5), (5, 5), (4, 5), (3, 5), (6, 5)]",17,"[7, 1, 2, 5, 4, 3, 6]"
uid17,"[(6, 5), (3, 5), (5, 5), (1, 5), (2, 4), (4, 3), (7, 3)]",5,"[6, 3, 5, 1, 2, 4, 7]"
uid23,"[(6, 4), (3, 4), (5, 4), (2, 4), (1, 3), (4, 3), (7, 2)]",5,"[6, 3, 5, 2, 1, 4, 7]"
uid21,"[(5, 5), (2, 5), (1, 5), (6, 4), (3, 4), (4, 4), (7, 3)]",4,"[5, 2, 1, 6, 3, 4, 7]"
uid20,"[(3, 5), (6, 5), (5, 5), (2, 5), (4, 4), (1, 3), (7, 3)]",6,"[3, 6, 5, 2, 4, 1, 7]"
uid7,"[(3, 5), (6, 5), (4, 5), (2, 5), (5, 4), (1, 4), (7, 3)]",6,"[3, 6, 4, 2, 5, 1, 7]"
uid16,"[(2, 4), (5, 4), (1, 4), (6, 4), (4, 4), (3, 3), (7, 3)]",10,"[2, 5, 1, 6, 4, 3, 7]"
uid14,"[(5, 5), (2, 5), (4, 4), (1, 4), (6, 4), (3, 4), (7, 4)]",10,"[5, 2, 4, 1, 6, 3, 7]"
uid10,"[(5, 5), (2, 5), (6, 4), (4, 4), (3, 4), (1, 4), (7, 3)]",4,"[5, 2, 6, 4, 3, 1, 7]"
uid8,"[(2, 5), (7, 4), (4, 4), (6, 4), (5, 4), (1, 4), (3, 4)]",7,"[2, 7, 4, 6, 5, 1, 3]"
uid12,"[(5, 5), (6, 5), (7, 5), (4, 5), (2, 5), (1, 4), (3, 4)]",8,"[5, 6, 7, 4, 2, 1, 3]"
