username,list_rank,number_questions,list_rank2
uid2,"[(6, 5), (2, 5), (4, 4), (1, 4), (3, 3), (5, 2)]",2,"[6, 2, 4, 1, 3, 5]"
uid5,"[(6, 5), (3, 5), (4, 5), (1, 4), (2, 3), (5, 2)]",2,"[6, 3, 4, 1, 2, 5]"
uid1,"[(1, 5), (6, 5), (4, 5), (3, 4), (2, 4), (5, 3)]",4,"[1, 6, 4, 3, 2, 5]"
uid3,"[(6, 5), (3, 5), (2, 5), (1, 5), (4, 4), (5, 3)]",3,"[6, 3, 2, 1, 4, 5]"
uid4,"[(6, 5), (4, 4), (1, 4), (3, 3), (2, 3), (5, 2)]",2,"[6, 4, 1, 3, 2, 5]"
uid7,"[(6, 5), (3, 5), (4, 5), (5, 4), (2, 4), (1, 4)]",4,"[6, 3, 4, 5, 2, 1]"
uid6,"[(6, 5), (3, 5), (2, 4), (1, 4), (4, 4), (5, 2)]",4,"[6, 3, 2, 1, 4, 5]"
