username,Duration (in seconds),age_bin,gender,satf1,satf2,satf3,satf4,satf5,satf6,iol1,iol2,iol3,iol4,imn1,imn2,imn3,imn4,fatig1,fatig2,fatig3,fatig4,fatig5
uid8,107,21-25,F,2,2,1,7,2,6,3,5,3,5,2,4,2,2,6,6,4,2,3
uid15,74,26-30,M,2,2,6,4,4,2,5,5,5,4,2,4,2,2,6,3,6,3,4
uid11,200,26-30,F,1,1,2,6,1,6,3,3,6,6,2,2,1,6,6,6,2,2,3
uid20,592,21-25,M,1,1,2,6,2,6,7,7,3,5,2,1,1,6,7,3,2,1,1
uid18,142,21-25,F,4,1,2,6,4,6,3,6,6,3,2,2,2,6,6,6,3,2,3
uid14,325,21-25,M,1,1,1,7,1,6,7,5,5,6,2,2,2,6,7,3,1,1,2
uid2,148,21-25,M,2,2,1,6,7,6,3,2,6,3,6,2,2,2,6,3,3,2,2
uid4,106,21-25,F,2,6,2,2,6,2,5,3,5,3,2,6,2,1,5,2,5,3,4
uid1,346,21-25,F,1,1,1,7,1,6,5,2,6,6,2,1,2,6,6,3,3,2,1
uid9,217,above 30,M,1,2,1,7,2,6,5,3,6,3,2,1,1,2,6,3,2,6,2
uid19,216,26-30,M,1,1,1,7,2,6,6,2,6,5,2,2,1,2,7,7,5,2,2
uid12,161,under 21,F,1,1,1,6,1,4,4,3,3,3,1,2,1,7,6,3,2,2,2
uid16,122,21-25,M,2,4,2,6,2,4,4,4,4,3,4,2,4,1,3,4,4,3,3
uid17,652,21-25,F,2,2,6,4,2,6,1,1,1,5,2,2,1,2,6,6,5,5,2
uid7,222,21-25,F,1,1,1,6,1,6,3,2,2,3,2,2,2,4,6,6,2,2,2
uid5,150311,21-25,F,1,2,2,1,2,2,3,5,2,6,7,4,4,4,7,5,3,5,4
uid6,172,21-25,F,1,1,1,1,1,1,7,5,7,7,6,1,1,2,6,6,1,1,1
uid13,195,21-25,F,1,1,1,7,2,7,7,7,7,7,1,1,1,7,7,6,1,1,2
uid3,123,26-30,M,1,2,2,6,2,6,6,1,6,6,2,1,2,6,7,6,1,1,1
uid21,140,21-25,F,1,2,2,2,1,1,2,2,2,2,2,2,2,2,5,3,2,2,2
