username,Duration (in seconds),age,gender,satf1,satf2,satf3,satf4,satf5,satf6,iol1,iol2,iol3,iol4,imn1,imn2,imn3,imn4,fatig1,fatig2,fatig3,fatig4,fatig5
uid15,223,25.0,M,1,1,1,4,1,4,5,4,5,4,2,1,2,2,5,6,1,2,2
uid13,137,24.0,F,1,1,1,6,2,6,5,5,5,2,2,2,1,2,6,6,1,1,2
uid9,397,21.0,F,1,2,1,7,2,4,5,6,6,4,2,4,1,2,6,5,2,3,1
uid6,335,22.0,F,1,2,1,7,6,6,5,5,2,3,2,2,2,2,6,3,2,1,2
uid10,243,28.0,F,1,1,1,7,2,6,7,7,3,3,6,2,1,2,7,6,2,1,2
uid7,302,25.0,F,2,1,2,6,4,4,6,5,5,5,4,2,2,4,6,6,2,2,1
uid3,246,21.0,F,2,2,2,4,4,2,1,4,2,6,2,2,1,2,6,3,2,1,1
uid16,193,24.0,F,1,1,1,4,6,6,6,5,5,5,2,6,2,2,3,3,2,2,2
uid4,271,23.0,F,7,1,1,7,4,7,5,6,6,2,2,1,1,6,6,6,2,2,2
uid14,394,23.0,F,2,1,2,6,1,4,3,6,6,3,2,4,2,2,6,6,2,2,2
uid12,520,22.0,F,2,2,4,6,6,2,5,7,3,5,2,2,2,2,5,5,2,2,1
uid1,225,24.0,F,2,1,2,6,4,6,6,6,3,6,2,2,1,7,6,6,1,1,1
uid11,393,24.0,F,1,1,2,7,2,2,3,6,4,2,2,1,1,4,6,6,2,2,2
uid8,225,23.0,F,2,1,2,2,1,2,3,3,3,3,2,2,6,2,4,3,1,1,2
uid17,328,16.0,M,1,1,1,1,2,2,2,5,2,5,2,2,2,6,6,3,2,2,2
uid18,257,24.0,F,1,1,1,2,1,2,2,3,2,2,2,2,2,2,3,3,1,1,1
uid5,113,26.0,M,2,4,2,2,4,2,5,3,5,6,2,2,2,6,6,4,2,2,2
