username,Duration (in seconds),age,gender,satf1,satf2,satf3,satf4,satf5,satf6,iol1,iol2,iol3,iol4,imn1,imn2,imn3,imn4,fatig1,fatig2,fatig3,fatig4,fatig5
uid18,121,27.0,M,1,2,2,6,1,4,5,5,2,5,2,2,2,1,3,3,4,2,3
uid19,371,20.0,F,2,2,1,1,2,2,3,5,2,2,2,1,1,4,3,4,2,1,3
uid5,226,27.0,M,1,1,1,4,1,2,2,5,2,5,2,1,2,4,3,4,1,1,2
uid11,180,23.0,F,1,1,2,2,1,2,5,5,6,5,4,4,4,4,6,6,3,2,5
uid2,175,26.0,M,1,1,1,7,1,7,5,2,7,2,1,1,1,7,7,7,2,2,3
uid4,132,30.0,M,1,2,1,7,4,4,5,6,2,6,2,6,1,6,6,3,5,2,3
uid13,158,27.0,M,1,1,1,7,2,6,7,7,7,7,2,6,2,6,6,3,2,2,6
uid7,183,24.0,F,1,2,2,6,2,1,3,4,6,5,2,2,2,2,6,5,3,3,2
uid15,217,24.0,M,1,4,1,1,1,4,5,2,6,1,6,6,1,1,3,2,1,1,2
uid6,152,26.0,M,2,4,4,4,1,1,2,2,3,2,2,4,2,6,5,5,3,3,2
uid17,136,25.0,M,4,2,2,2,2,1,5,5,6,3,2,2,2,6,6,3,3,2,2
uid20,233,23.0,F,1,1,1,7,1,7,7,7,7,7,1,1,4,4,7,7,2,7,2
uid22,141,24.0,F,1,1,1,7,1,7,3,6,6,4,2,1,1,2,6,7,2,2,1
uid23,180,31.0,M,1,1,1,7,2,7,3,5,5,3,2,2,2,4,3,3,6,3,5
uid3,226,29.0,M,2,2,1,7,4,6,1,5,3,2,2,2,2,1,5,5,3,2,2
uid10,272,21.0,F,2,2,2,4,2,2,5,6,3,3,2,4,4,2,6,6,2,2,2
uid9,103,22.0,F,1,2,2,2,1,2,5,6,6,5,2,1,1,2,6,3,2,2,2
uid8,103,25.0,F,6,7,2,7,4,7,7,4,2,6,7,7,1,6,5,2,5,6,3
