username,Duration (in seconds),age,gender,satf1,satf2,satf3,satf4,satf5,satf6,iol1,iol2,iol3,iol4,imn1,imn2,imn3,imn4,fatig1,fatig2,fatig3,fatig4,fatig5
uid9,188,23.0,F,1,1,1,7,2,4,5,2,2,5,4,2,2,2,6,3,2,2,1
uid2,155,23.0,F,1,1,1,7,2,6,5,2,3,3,2,4,2,4,4,6,2,2,1
uid19,194,24.0,M,1,1,1,7,1,2,2,2,2,3,2,2,2,6,6,3,1,1,1
uid7,578,25.0,M,1,2,1,7,4,7,6,5,6,5,2,2,2,6,6,5,3,2,2
uid3,647,25.0,M,1,2,1,7,4,7,5,5,6,5,2,2,2,6,6,5,3,2,2
uid16,173,22.0,F,2,1,1,7,4,6,6,6,6,7,2,1,1,2,6,3,1,1,1
uid21,127,23.0,F,1,1,1,6,1,6,5,5,3,3,4,6,2,2,6,5,1,1,1
uid17,6018,22.0,F,1,1,2,6,4,6,3,3,6,3,2,6,2,6,5,6,2,2,2
uid4,198,25.0,M,1,6,2,7,1,4,3,2,4,2,2,1,1,2,2,2,3,1,2
uid8,171,26.0,F,2,1,1,7,1,7,7,6,3,7,2,1,1,2,7,6,1,1,2
uid5,135,27.0,F,1,1,1,6,1,4,6,6,6,5,2,2,2,4,7,6,2,1,1
uid1,13114,26.0,M,2,2,4,2,2,4,5,5,5,5,2,1,1,6,6,4,5,5,3
uid6,164,22.0,F,2,2,2,4,2,2,5,2,1,2,2,4,2,6,1,2,2,2,2
uid11,186,22.0,F,1,2,2,6,1,2,5,5,6,5,2,2,1,6,6,5,2,1,1
uid10,276,23.0,F,7,6,7,1,7,2,6,6,7,5,2,2,2,7,7,6,2,2,1
uid14,143,26.0,M,1,2,2,7,1,7,5,2,5,5,2,2,2,6,6,6,2,2,2
uid13,156,26.0,F,1,1,2,7,2,7,7,5,7,3,2,1,1,6,6,3,3,3,2
uid18,152,25.0,F,1,1,1,7,4,7,2,2,2,3,1,2,1,7,6,6,3,2,1
