username,list_rank,number_questions,list_rank2
uid117,"[(3, 5), (2, 5), (4, 4), (1, 4), (6, 4), (7, 4), (8, 4), (5, 4), (9, 4)]",22,"[3, 2, 4, 1, 6, 7, 8, 5, 9]"
uid120,"[(1, 5), (9, 5), (8, 5), (3, 5), (5, 4), (7, 4), (4, 4), (2, 4), (6, 3)]",9,"[1, 9, 8, 3, 5, 7, 4, 2, 6]"
uid121,"[(6, 5), (9, 5), (1, 4), (4, 4), (2, 4), (5, 4), (3, 4), (7, 4), (8, 4)]",21,"[6, 9, 1, 4, 2, 5, 3, 7, 8]"
uid122,"[(6, 5), (4, 5), (3, 5), (1, 4), (5, 4), (9, 4), (2, 4), (7, 4), (8, 3)]",11,"[6, 4, 3, 1, 5, 9, 2, 7, 8]"
uid123,"[(3, 5), (4, 5), (9, 5), (1, 5), (8, 5), (6, 4), (5, 4), (7, 4), (2, 4)]",13,"[3, 4, 9, 1, 8, 6, 5, 7, 2]"
uid125,"[(1, 5), (4, 5), (9, 5), (6, 4), (3, 4), (8, 4), (5, 4), (2, 4), (7, 3)]",10,"[1, 4, 9, 6, 3, 8, 5, 2, 7]"
uid127,"[(5, 5), (1, 5), (9, 5), (7, 4), (8, 4), (6, 4), (4, 4), (3, 4), (2, 2)]",8,"[5, 1, 9, 7, 8, 6, 4, 3, 2]"
uid129,"[(3, 5), (1, 5), (8, 5), (4, 5), (6, 4), (5, 4), (2, 4), (7, 4), (9, 4)]",15,"[3, 1, 8, 4, 6, 5, 2, 7, 9]"
uid130,"[(4, 5), (9, 5), (6, 5), (3, 5), (1, 5), (8, 4), (5, 4), (7, 4), (2, 4)]",10,"[4, 9, 6, 3, 1, 8, 5, 7, 2]"
uid131,"[(4, 5), (7, 5), (9, 5), (6, 5), (5, 5), (1, 5), (8, 4), (3, 4), (2, 4)]",12,"[4, 7, 9, 6, 5, 1, 8, 3, 2]"
uid132,"[(6, 5), (5, 5), (4, 5), (9, 4), (1, 4), (2, 4), (7, 4), (8, 3), (3, 3)]",7,"[6, 5, 4, 9, 1, 2, 7, 8, 3]"
uid133,"[(1, 5), (4, 5), (6, 4), (9, 4), (5, 4), (3, 3), (2, 3), (7, 3), (8, 3)]",10,"[1, 4, 6, 9, 5, 3, 2, 7, 8]"
uid134,"[(3, 5), (9, 5), (4, 5), (1, 5), (5, 4), (6, 4), (7, 4), (2, 4), (8, 4)]",15,"[3, 9, 4, 1, 5, 6, 7, 2, 8]"
uid135,"[(6, 5), (4, 5), (1, 5), (3, 4), (5, 4), (9, 4), (2, 4), (7, 4), (8, 3)]",11,"[6, 4, 1, 3, 5, 9, 2, 7, 8]"
uid136,"[(7, 5), (6, 5), (4, 5), (5, 5), (3, 4), (1, 4), (9, 4), (8, 4), (2, 2)]",9,"[7, 6, 4, 5, 3, 1, 9, 8, 2]"
uid137,"[(4, 5), (6, 5), (3, 5), (1, 5), (9, 4), (5, 4), (7, 4), (2, 4), (8, 4)]",11,"[4, 6, 3, 1, 9, 5, 7, 2, 8]"
uid142,"[(2, 5), (9, 4), (5, 4), (4, 4), (3, 4), (1, 4), (8, 4), (7, 3), (6, 3)]",9,"[2, 9, 5, 4, 3, 1, 8, 7, 6]"
uid143,"[(1, 5), (4, 5), (9, 4), (3, 4), (8, 4), (6, 4), (5, 4), (2, 4), (7, 4)]",13,"[1, 4, 9, 3, 8, 6, 5, 2, 7]"
uid144,"[(1, 5), (4, 5), (9, 4), (5, 4), (2, 4), (3, 4), (6, 3), (8, 3), (7, 3)]",7,"[1, 4, 9, 5, 2, 3, 6, 8, 7]"
uid145,"[(5, 5), (1, 5), (4, 5), (9, 5), (3, 4), (6, 4), (2, 4), (7, 4), (8, 4)]",15,"[5, 1, 4, 9, 3, 6, 2, 7, 8]"
uid146,"[(4, 5), (9, 5), (6, 5), (1, 5), (3, 5), (7, 5), (5, 4), (2, 4), (8, 4)]",13,"[4, 9, 6, 1, 3, 7, 5, 2, 8]"
uid147,"[(1, 5), (4, 5), (6, 5), (3, 5), (9, 4), (5, 4), (7, 4), (2, 3), (8, 3)]",9,"[1, 4, 6, 3, 9, 5, 7, 2, 8]"
