username,list_rank,number_questions,list_rank2
uid14,"[(7, 5), (2, 5), (1, 5), (8, 5), (9, 5), (4, 5), (5, 5), (3, 5), (6, 4)]",10,"[7, 2, 1, 8, 9, 4, 5, 3, 6]"
uid12,"[(3, 5), (2, 5), (7, 5), (9, 5), (4, 5), (5, 4), (1, 4), (6, 3), (8, 3)]",9,"[3, 2, 7, 9, 4, 5, 1, 6, 8]"
uid5,"[(7, 5), (1, 5), (6, 5), (5, 5), (4, 5), (8, 5), (9, 5), (3, 4), (2, 3)]",10,"[7, 1, 6, 5, 4, 8, 9, 3, 2]"
uid6,"[(7, 5), (5, 5), (1, 5), (4, 5), (6, 5), (3, 5), (9, 4), (8, 4), (2, 4)]",12,"[7, 5, 1, 4, 6, 3, 9, 8, 2]"
uid1,"[(7, 5), (1, 5), (4, 5), (6, 5), (5, 5), (8, 5), (2, 4), (3, 4), (9, 4)]",10,"[7, 1, 4, 6, 5, 8, 2, 3, 9]"
uid21,"[(2, 5), (3, 5), (1, 5), (4, 5), (9, 5), (8, 4), (5, 4), (6, 4), (7, 4)]",11,"[2, 3, 1, 4, 9, 8, 5, 6, 7]"
uid7,"[(6, 5), (7, 5), (9, 5), (2, 5), (8, 5), (4, 5), (3, 4), (5, 4), (1, 4)]",14,"[6, 7, 9, 2, 8, 4, 3, 5, 1]"
uid17,"[(4, 5), (3, 4), (2, 3), (8, 3), (6, 3), (7, 3), (9, 3), (5, 3), (1, 3)]",11,"[4, 3, 2, 8, 6, 7, 9, 5, 1]"
uid11,"[(4, 5), (5, 5), (8, 5), (7, 5), (3, 5), (2, 4), (6, 4), (1, 4), (9, 4)]",13,"[4, 5, 8, 7, 3, 2, 6, 1, 9]"
uid10,"[(4, 5), (7, 4), (9, 4), (8, 4), (3, 4), (6, 3), (2, 3), (5, 2), (1, 2)]",6,"[4, 7, 9, 8, 3, 6, 2, 5, 1]"
uid3,"[(6, 5), (7, 5), (4, 5), (8, 5), (9, 4), (3, 4), (5, 4), (2, 4), (1, 4)]",15,"[6, 7, 4, 8, 9, 3, 5, 2, 1]"
uid18,"[(5, 5), (7, 4), (3, 4), (1, 4), (4, 4), (9, 4), (2, 3), (6, 3), (8, 3)]",8,"[5, 7, 3, 1, 4, 9, 2, 6, 8]"
uid2,"[(5, 5), (1, 5), (7, 4), (8, 4), (2, 4), (6, 3), (4, 3), (3, 3), (9, 3)]",7,"[5, 1, 7, 8, 2, 6, 4, 3, 9]"
uid13,"[(7, 5), (2, 4), (8, 4), (5, 4), (1, 4), (4, 4), (3, 4), (9, 4), (6, 4)]",13,"[7, 2, 8, 5, 1, 4, 3, 9, 6]"
uid15,"[(7, 5), (5, 5), (2, 4), (1, 4), (4, 4), (3, 4), (9, 4), (6, 3), (8, 3)]",6,"[7, 5, 2, 1, 4, 3, 9, 6, 8]"
uid4,"[(4, 5), (2, 4), (7, 4), (6, 4), (5, 4), (8, 4), (3, 4), (1, 3), (9, 1)]",7,"[4, 2, 7, 6, 5, 8, 3, 1, 9]"
uid16,"[(3, 5), (5, 5), (7, 5), (8, 5), (6, 5), (9, 4), (1, 4), (2, 4), (4, 4)]",13,"[3, 5, 7, 8, 6, 9, 1, 2, 4]"
uid20,"[(7, 5), (1, 5), (8, 5), (2, 5), (6, 5), (5, 5), (3, 5), (9, 5), (4, 5)]",11,"[7, 1, 8, 2, 6, 5, 3, 9, 4]"
uid8,"[(5, 5), (1, 5), (7, 5), (3, 5), (2, 4), (9, 4), (6, 4), (4, 4), (8, 3)]",10,"[5, 1, 7, 3, 2, 9, 6, 4, 8]"
uid9,"[(2, 5), (8, 5), (9, 5), (7, 5), (5, 5), (6, 4), (4, 4), (3, 4), (1, 4)]",11,"[2, 8, 9, 7, 5, 6, 4, 3, 1]"
uid19,"[(3, 5), (2, 5), (4, 5), (6, 5), (9, 5), (5, 5), (7, 4), (1, 4), (8, 3)]",11,"[3, 2, 4, 6, 9, 5, 7, 1, 8]"
