username,list_rank,number_questions,list_rank2
uid150,"[(1, 5), (10, 5), (8, 5), (6, 4), (3, 4), (2, 4), (4, 3), (5, 3), (9, 2), (7, 2)]",7,"[1, 10, 8, 6, 3, 2, 4, 5, 9, 7]"
uid151,"[(2, 5), (6, 5), (10, 5), (1, 4), (8, 4), (5, 4), (3, 3), (4, 3), (9, 3), (7, 3)]",12,"[2, 6, 10, 1, 8, 5, 3, 4, 9, 7]"
uid153,"[(4, 5), (8, 5), (10, 5), (6, 4), (1, 4), (2, 4), (3, 4), (5, 4), (9, 4), (7, 3)]",15,"[4, 8, 10, 6, 1, 2, 3, 5, 9, 7]"
uid154,"[(10, 5), (8, 5), (6, 5), (5, 5), (2, 5), (4, 5), (1, 4), (3, 4), (7, 4), (9, 3)]",8,"[10, 8, 6, 5, 2, 4, 1, 3, 7, 9]"
uid155,"[(8, 5), (4, 5), (3, 5), (6, 4), (5, 4), (1, 4), (10, 4), (2, 3), (9, 3), (7, 3)]",10,"[8, 4, 3, 6, 5, 1, 10, 2, 9, 7]"
uid156,"[(8, 5), (10, 5), (4, 5), (1, 5), (7, 4), (3, 4), (5, 2), (2, 2), (6, 1), (9, 1)]",7,"[8, 10, 4, 1, 7, 3, 5, 2, 6, 9]"
uid157,"[(10, 5), (8, 5), (3, 5), (6, 5), (4, 5), (1, 4), (5, 4), (2, 3), (7, 3), (9, 3)]",9,"[10, 8, 3, 6, 4, 1, 5, 2, 7, 9]"
uid158,"[(10, 5), (6, 5), (8, 5), (5, 5), (2, 5), (3, 4), (1, 4), (4, 4), (7, 3), (9, 3)]",9,"[10, 6, 8, 5, 2, 3, 1, 4, 7, 9]"
uid160,"[(3, 5), (8, 5), (6, 4), (1, 4), (10, 4), (7, 4), (2, 3), (5, 3), (4, 3), (9, 3)]",13,"[3, 8, 6, 1, 10, 7, 2, 5, 4, 9]"
uid161,"[(10, 5), (8, 5), (3, 5), (6, 5), (9, 5), (1, 4), (4, 4), (2, 4), (5, 4), (7, 3)]",12,"[10, 8, 3, 6, 9, 1, 4, 2, 5, 7]"
uid162,"[(8, 5), (10, 5), (6, 5), (4, 5), (2, 5), (1, 5), (5, 4), (3, 4), (7, 4), (9, 4)]",13,"[8, 10, 6, 4, 2, 1, 5, 3, 7, 9]"
uid163,"[(10, 5), (3, 5), (5, 5), (1, 5), (6, 5), (8, 5), (2, 4), (4, 4), (9, 4), (7, 4)]",17,"[10, 3, 5, 1, 6, 8, 2, 4, 9, 7]"
uid164,"[(10, 5), (4, 5), (5, 5), (3, 4), (8, 4), (6, 4), (1, 4), (7, 3), (2, 3), (9, 2)]",8,"[10, 4, 5, 3, 8, 6, 1, 7, 2, 9]"
uid165,"[(10, 5), (8, 5), (6, 5), (7, 5), (3, 4), (1, 4), (4, 4), (2, 4), (5, 3), (9, 3)]",9,"[10, 8, 6, 7, 3, 1, 4, 2, 5, 9]"
uid166,"[(6, 5), (4, 5), (3, 5), (1, 4), (10, 4), (2, 4), (8, 3), (5, 3), (9, 3), (7, 3)]",10,"[6, 4, 3, 1, 10, 2, 8, 5, 9, 7]"
uid167,"[(1, 5), (10, 5), (8, 5), (9, 4), (2, 4), (5, 4), (3, 4), (6, 3), (4, 3), (7, 2)]",8,"[1, 10, 8, 9, 2, 5, 3, 6, 4, 7]"
uid168,"[(8, 5), (10, 5), (1, 4), (5, 4), (3, 4), (4, 3), (6, 3), (2, 3), (9, 3), (7, 2)]",10,"[8, 10, 1, 5, 3, 4, 6, 2, 9, 7]"
uid169,"[(1, 5), (10, 5), (6, 4), (8, 4), (3, 4), (7, 4), (9, 4), (5, 3), (4, 3), (2, 3)]",12,"[1, 10, 6, 8, 3, 7, 9, 5, 4, 2]"
uid170,"[(10, 5), (1, 5), (6, 5), (4, 5), (5, 4), (2, 4), (3, 3), (8, 3), (7, 3), (9, 3)]",11,"[10, 1, 6, 4, 5, 2, 3, 8, 7, 9]"
uid171,"[(10, 5), (2, 5), (6, 5), (4, 5), (1, 4), (5, 4), (3, 4), (8, 4), (7, 3), (9, 3)]",11,"[10, 2, 6, 4, 1, 5, 3, 8, 7, 9]"
uid172,"[(9, 5), (2, 5), (10, 5), (3, 4), (6, 4), (8, 4), (1, 4), (5, 3), (4, 3), (7, 3)]",12,"[9, 2, 10, 3, 6, 8, 1, 5, 4, 7]"
uid173,"[(6, 5), (2, 5), (1, 4), (10, 4), (8, 4), (4, 4), (3, 4), (5, 3), (7, 3), (9, 3)]",11,"[6, 2, 1, 10, 8, 4, 3, 5, 7, 9]"
uid174,"[(6, 5), (10, 5), (3, 4), (1, 4), (2, 3), (4, 3), (9, 3), (5, 3), (7, 2), (8, 2)]",9,"[6, 10, 3, 1, 2, 4, 9, 5, 7, 8]"
uid175,"[(1, 5), (3, 5), (10, 5), (6, 4), (2, 4), (8, 4), (4, 3), (5, 3), (7, 2), (9, 2)]",8,"[1, 3, 10, 6, 2, 8, 4, 5, 7, 9]"
uid177,"[(10, 4), (9, 4), (7, 4), (8, 4), (6, 4), (2, 4), (1, 4), (3, 3), (4, 3), (5, 3)]",9,"[10, 9, 7, 8, 6, 2, 1, 3, 4, 5]"
uid178,"[(1, 5), (10, 5), (6, 5), (3, 4), (5, 4), (2, 4), (4, 3), (8, 3), (9, 3), (7, 3)]",12,"[1, 10, 6, 3, 5, 2, 4, 8, 9, 7]"
uid179,"[(8, 5), (4, 5), (5, 5), (3, 5), (6, 5), (10, 5), (1, 4), (2, 4), (7, 4), (9, 3)]",15,"[8, 4, 5, 3, 6, 10, 1, 2, 7, 9]"
