username,list_rank,number_questions,list_rank2
uid196,"[(3, 5), (2, 4), (4, 4), (6, 4), (10, 3), (7, 3), (5, 3), (9, 3), (8, 3), (11, 3), (12, 3), (1, 2)]",21,"[3, 2, 4, 6, 10, 7, 5, 9, 8, 11, 12, 1]"
uid197,"[(10, 5), (7, 5), (3, 5), (2, 5), (8, 4), (6, 4), (12, 4), (4, 3), (1, 3), (11, 3), (5, 3), (9, 3)]",15,"[10, 7, 3, 2, 8, 6, 12, 4, 1, 11, 5, 9]"
uid198,"[(6, 5), (9, 4), (4, 4), (10, 4), (5, 4), (2, 4), (11, 4), (8, 4), (3, 4), (12, 3), (1, 3), (7, 2)]",19,"[6, 9, 4, 10, 5, 2, 11, 8, 3, 12, 1, 7]"
uid199,"[(8, 5), (2, 4), (3, 4), (7, 4), (10, 4), (11, 4), (9, 4), (6, 4), (5, 4), (12, 4), (1, 4), (4, 3)]",34,"[8, 2, 3, 7, 10, 11, 9, 6, 5, 12, 1, 4]"
uid200,"[(10, 5), (3, 4), (2, 3), (8, 3), (4, 2), (11, 2), (7, 2), (1, 2), (9, 1), (5, 1), (6, 1), (12, 1)]",11,"[10, 3, 2, 8, 4, 11, 7, 1, 9, 5, 6, 12]"
uid201,"[(8, 5), (9, 5), (3, 4), (10, 4), (7, 4), (6, 4), (2, 3), (12, 3), (1, 3), (4, 3), (11, 3), (5, 2)]",14,"[8, 9, 3, 10, 7, 6, 2, 12, 1, 4, 11, 5]"
uid202,"[(2, 4), (10, 3), (4, 3), (3, 3), (11, 3), (8, 3), (9, 3), (6, 2), (1, 2), (5, 1), (7, 1), (12, 1)]",15,"[2, 10, 4, 3, 11, 8, 9, 6, 1, 5, 7, 12]"
uid203,"[(2, 5), (6, 5), (4, 4), (8, 4), (10, 4), (12, 4), (3, 4), (1, 4), (9, 4), (5, 4), (7, 4), (11, 4)]",32,"[2, 6, 4, 8, 10, 12, 3, 1, 9, 5, 7, 11]"
uid205,"[(9, 5), (10, 5), (6, 5), (5, 5), (7, 5), (4, 5), (8, 4), (3, 4), (2, 4), (12, 4), (1, 3), (11, 3)]",13,"[9, 10, 6, 5, 7, 4, 8, 3, 2, 12, 1, 11]"
uid206,"[(11, 5), (10, 5), (7, 5), (9, 5), (2, 5), (6, 4), (8, 4), (12, 3), (1, 3), (4, 3), (5, 3), (3, 2)]",10,"[11, 10, 7, 9, 2, 6, 8, 12, 1, 4, 5, 3]"
uid207,"[(11, 5), (3, 4), (6, 4), (5, 4), (2, 3), (8, 3), (10, 2), (1, 2), (4, 2), (9, 2), (7, 2), (12, 1)]",11,"[11, 3, 6, 5, 2, 8, 10, 1, 4, 9, 7, 12]"
uid208,"[(2, 5), (3, 5), (4, 4), (10, 4), (9, 4), (6, 3), (8, 3), (5, 3), (1, 2), (7, 1), (11, 1), (12, 1)]",10,"[2, 3, 4, 10, 9, 6, 8, 5, 1, 7, 11, 12]"
uid209,"[(8, 5), (3, 5), (2, 5), (10, 4), (4, 4), (7, 4), (6, 3), (9, 3), (5, 3), (1, 3), (11, 2), (12, 2)]",9,"[8, 3, 2, 10, 4, 7, 6, 9, 5, 1, 11, 12]"
uid210,"[(6, 5), (9, 5), (8, 4), (3, 4), (2, 4), (11, 3), (4, 3), (10, 3), (1, 3), (5, 2), (7, 2), (12, 2)]",10,"[6, 9, 8, 3, 2, 11, 4, 10, 1, 5, 7, 12]"
uid211,"[(7, 5), (9, 5), (10, 5), (12, 5), (6, 5), (2, 5), (4, 4), (8, 4), (11, 3), (3, 3), (5, 3), (1, 1)]",14,"[7, 9, 10, 12, 6, 2, 4, 8, 11, 3, 5, 1]"
uid212,"[(9, 5), (5, 5), (7, 4), (6, 4), (2, 4), (4, 4), (11, 4), (8, 3), (10, 3), (1, 3), (3, 3), (12, 2)]",12,"[9, 5, 7, 6, 2, 4, 11, 8, 10, 1, 3, 12]"
uid213,"[(5, 5), (4, 5), (2, 5), (6, 4), (3, 4), (10, 4), (8, 4), (1, 4), (11, 3), (7, 3), (9, 3), (12, 2)]",12,"[5, 4, 2, 6, 3, 10, 8, 1, 11, 7, 9, 12]"
uid214,"[(11, 5), (3, 4), (2, 4), (10, 4), (6, 4), (8, 4), (9, 4), (4, 3), (7, 2), (5, 2), (1, 2), (12, 1)]",15,"[11, 3, 2, 10, 6, 8, 9, 4, 7, 5, 1, 12]"
uid215,"[(9, 5), (1, 5), (10, 4), (11, 4), (12, 4), (8, 4), (5, 4), (7, 4), (3, 4), (6, 2), (4, 2), (2, 1)]",12,"[9, 1, 10, 11, 12, 8, 5, 7, 3, 6, 4, 2]"
uid216,"[(4, 5), (10, 5), (2, 4), (3, 4), (1, 3), (6, 3), (7, 2), (8, 1), (5, 1), (9, 1), (11, 1), (12, 1)]",13,"[4, 10, 2, 3, 1, 6, 7, 8, 5, 9, 11, 12]"
uid217,"[(10, 5), (7, 5), (2, 5), (6, 5), (8, 5), (1, 5), (11, 4), (3, 4), (9, 4), (4, 4), (5, 4), (12, 3)]",15,"[10, 7, 2, 6, 8, 1, 11, 3, 9, 4, 5, 12]"
uid218,"[(5, 5), (2, 4), (7, 4), (10, 4), (8, 3), (11, 3), (6, 3), (4, 3), (3, 3), (1, 3), (9, 3), (12, 3)]",21,"[5, 2, 7, 10, 8, 11, 6, 4, 3, 1, 9, 12]"
uid219,"[(4, 5), (6, 4), (3, 4), (2, 4), (10, 4), (12, 3), (9, 3), (8, 3), (7, 3), (1, 3), (5, 3), (11, 3)]",15,"[4, 6, 3, 2, 10, 12, 9, 8, 7, 1, 5, 11]"
uid180,"[(7, 5), (12, 4), (11, 4), (8, 4), (5, 4), (2, 4), (10, 4), (3, 4), (9, 4), (1, 4), (4, 4), (6, 4)]",24,"[7, 12, 11, 8, 5, 2, 10, 3, 9, 1, 4, 6]"
uid181,"[(9, 5), (4, 5), (3, 5), (2, 4), (1, 4), (8, 4), (11, 4), (6, 3), (7, 3), (10, 3), (5, 3), (12, 2)]",14,"[9, 4, 3, 2, 1, 8, 11, 6, 7, 10, 5, 12]"
uid182,"[(1, 5), (9, 5), (5, 5), (7, 4), (10, 4), (11, 4), (8, 4), (3, 4), (4, 4), (2, 3), (6, 3), (12, 1)]",13,"[1, 9, 5, 7, 10, 11, 8, 3, 4, 2, 6, 12]"
uid184,"[(11, 5), (4, 5), (6, 4), (2, 4), (7, 3), (9, 3), (1, 3), (12, 2), (8, 2), (3, 2), (10, 1), (5, 1)]",8,"[11, 4, 6, 2, 7, 9, 1, 12, 8, 3, 10, 5]"
uid186,"[(7, 5), (3, 5), (2, 5), (10, 4), (4, 4), (9, 4), (6, 4), (8, 4), (12, 4), (5, 3), (11, 3), (1, 3)]",16,"[7, 3, 2, 10, 4, 9, 6, 8, 12, 5, 11, 1]"
uid187,"[(11, 5), (6, 5), (3, 5), (12, 4), (9, 4), (10, 4), (8, 4), (2, 4), (4, 4), (7, 4), (1, 2), (5, 2)]",11,"[11, 6, 3, 12, 9, 10, 8, 2, 4, 7, 1, 5]"
uid188,"[(12, 5), (6, 5), (11, 4), (2, 4), (10, 4), (8, 4), (4, 4), (9, 3), (3, 3), (7, 3), (5, 3), (1, 3)]",13,"[12, 6, 11, 2, 10, 8, 4, 9, 3, 7, 5, 1]"
uid189,"[(5, 5), (11, 5), (6, 5), (12, 4), (8, 4), (4, 4), (10, 4), (2, 3), (3, 2), (1, 2), (7, 2), (9, 1)]",10,"[5, 11, 6, 12, 8, 4, 10, 2, 3, 1, 7, 9]"
uid190,"[(12, 5), (5, 5), (11, 4), (9, 4), (6, 4), (2, 4), (4, 4), (3, 4), (1, 4), (8, 3), (7, 3), (10, 3)]",12,"[12, 5, 11, 9, 6, 2, 4, 3, 1, 8, 7, 10]"
uid192,"[(11, 5), (6, 4), (9, 4), (2, 4), (10, 3), (4, 3), (3, 3), (5, 2), (7, 2), (12, 2), (1, 2), (8, 1)]",11,"[11, 6, 9, 2, 10, 4, 3, 5, 7, 12, 1, 8]"
uid195,"[(10, 5), (8, 4), (7, 4), (2, 4), (6, 4), (9, 3), (3, 3), (1, 3), (4, 3), (5, 2), (12, 2), (11, 2)]",10,"[10, 8, 7, 2, 6, 9, 3, 1, 4, 5, 12, 11]"
