username,list_rank,number_questions,list_rank2
uid3,"[(2, 5), (9, 4), (5, 4), (6, 4), (1, 4), (8, 4), (7, 4), (3, 3), (10, 3), (4, 3)]",12,"[2, 9, 5, 6, 1, 8, 7, 3, 10, 4]"
uid21,"[(1, 5), (9, 5), (5, 5), (8, 4), (6, 4), (2, 4), (10, 4), (7, 3), (4, 3), (3, 1)]",7,"[1, 9, 5, 8, 6, 2, 10, 7, 4, 3]"
uid22,"[(8, 5), (2, 5), (9, 5), (5, 5), (10, 5), (1, 5), (6, 5), (7, 4), (4, 3), (3, 3)]",13,"[8, 2, 9, 5, 10, 1, 6, 7, 4, 3]"
uid6,"[(6, 5), (2, 5), (8, 5), (1, 4), (10, 4), (7, 3), (4, 3), (3, 3), (9, 3), (5, 3)]",12,"[6, 2, 8, 1, 10, 7, 4, 3, 9, 5]"
uid13,"[(2, 5), (1, 5), (7, 5), (6, 5), (10, 5), (9, 4), (5, 4), (8, 3), (4, 3), (3, 3)]",9,"[2, 1, 7, 6, 10, 9, 5, 8, 4, 3]"
uid23,"[(5, 5), (6, 5), (7, 5), (2, 4), (1, 4), (4, 4), (8, 4), (9, 3), (10, 3), (3, 2)]",8,"[5, 6, 7, 2, 1, 4, 8, 9, 10, 3]"
uid5,"[(2, 5), (8, 5), (1, 4), (7, 4), (9, 4), (5, 4), (6, 4), (10, 4), (3, 3), (4, 3)]",8,"[2, 8, 1, 7, 9, 5, 6, 10, 3, 4]"
uid7,"[(2, 5), (1, 5), (4, 4), (10, 4), (6, 4), (3, 4), (5, 4), (8, 3), (9, 3), (7, 3)]",12,"[2, 1, 4, 10, 6, 3, 5, 8, 9, 7]"
uid15,"[(9, 5), (7, 5), (8, 5), (2, 5), (10, 5), (5, 4), (6, 3), (1, 3), (4, 2), (3, 1)]",8,"[9, 7, 8, 2, 10, 5, 6, 1, 4, 3]"
uid17,"[(8, 5), (9, 4), (2, 4), (5, 4), (4, 4), (6, 4), (1, 4), (10, 4), (3, 4), (7, 4)]",15,"[8, 9, 2, 5, 4, 6, 1, 10, 3, 7]"
uid18,"[(1, 5), (5, 5), (6, 4), (2, 3), (4, 3), (8, 3), (3, 3), (10, 3), (7, 3), (9, 3)]",14,"[1, 5, 6, 2, 4, 8, 3, 10, 7, 9]"
uid9,"[(7, 5), (6, 5), (2, 5), (8, 5), (5, 4), (10, 4), (1, 4), (9, 3), (4, 3), (3, 3)]",9,"[7, 6, 2, 8, 5, 10, 1, 9, 4, 3]"
uid1,"[(2, 5), (9, 5), (5, 5), (4, 5), (8, 5), (10, 5), (1, 4), (7, 4), (6, 4), (3, 4)]",9,"[2, 9, 5, 4, 8, 10, 1, 7, 6, 3]"
uid11,"[(6, 5), (2, 5), (8, 5), (7, 4), (1, 4), (3, 4), (5, 4), (10, 3), (4, 3), (9, 3)]",10,"[6, 2, 8, 7, 1, 3, 5, 10, 4, 9]"
uid16,"[(9, 4), (2, 4), (7, 4), (6, 4), (8, 4), (5, 3), (1, 3), (10, 3), (4, 3), (3, 3)]",11,"[9, 2, 7, 6, 8, 5, 1, 10, 4, 3]"
uid14,"[(2, 5), (7, 5), (8, 5), (10, 5), (5, 5), (9, 5), (1, 5), (3, 5), (6, 4), (4, 4)]",16,"[2, 7, 8, 10, 5, 9, 1, 3, 6, 4]"
uid19,"[(10, 5), (1, 5), (2, 4), (8, 4), (6, 4), (5, 3), (7, 3), (4, 3), (3, 3), (9, 2)]",7,"[10, 1, 2, 8, 6, 5, 7, 4, 3, 9]"
uid10,"[(2, 5), (6, 5), (8, 5), (5, 5), (7, 4), (9, 4), (10, 4), (1, 4), (4, 3), (3, 3)]",9,"[2, 6, 8, 5, 7, 9, 10, 1, 4, 3]"
uid12,"[(2, 5), (5, 5), (6, 5), (1, 5), (10, 5), (8, 4), (4, 4), (7, 3), (3, 3), (9, 3)]",9,"[2, 5, 6, 1, 10, 8, 4, 7, 3, 9]"
uid2,"[(10, 5), (2, 5), (1, 5), (5, 4), (8, 4), (7, 4), (6, 4), (4, 3), (3, 3), (9, 3)]",11,"[10, 2, 1, 5, 8, 7, 6, 4, 3, 9]"
uid20,"[(10, 5), (1, 5), (2, 4), (5, 4), (6, 4), (8, 4), (7, 3), (4, 3), (3, 3), (9, 1)]",6,"[10, 1, 2, 5, 6, 8, 7, 4, 3, 9]"
uid8,"[(4, 5), (5, 5), (3, 5), (8, 5), (1, 5), (10, 5), (9, 5), (6, 5), (2, 3), (7, 3)]",18,"[4, 5, 3, 8, 1, 10, 9, 6, 2, 7]"
