username,list_rank,number_questions,list_rank2
uid12,"[(1, 5), (2, 5), (5, 5), (8, 5), (7, 5), (6, 4), (4, 4), (9, 4), (3, 4)]",11,"[1, 2, 5, 8, 7, 6, 4, 9, 3]"
uid2,"[(4, 5), (1, 5), (7, 5), (5, 5), (2, 4), (8, 4), (6, 4), (9, 3), (3, 3)]",7,"[4, 1, 7, 5, 2, 8, 6, 9, 3]"
uid18,"[(2, 5), (1, 5), (7, 5), (5, 5), (4, 5), (8, 4), (6, 4), (9, 4), (3, 4)]",14,"[2, 1, 7, 5, 4, 8, 6, 9, 3]"
uid17,"[(6, 5), (1, 5), (2, 5), (8, 4), (5, 4), (9, 4), (4, 4), (3, 3), (7, 3)]",9,"[6, 1, 2, 8, 5, 9, 4, 3, 7]"
uid14,"[(4, 5), (9, 5), (1, 5), (2, 5), (5, 5), (3, 5), (8, 5), (7, 5), (6, 4)]",13,"[4, 9, 1, 2, 5, 3, 8, 7, 6]"
uid19,"[(5, 5), (2, 5), (9, 5), (1, 5), (6, 5), (4, 5), (8, 5), (7, 5), (3, 5)]",25,"[5, 2, 9, 1, 6, 4, 8, 7, 3]"
uid15,"[(2, 5), (1, 5), (5, 5), (7, 4), (8, 3), (6, 3), (3, 2), (4, 2), (9, 2)]",7,"[2, 1, 5, 7, 8, 6, 3, 4, 9]"
uid1,"[(1, 5), (2, 5), (6, 5), (5, 5), (8, 3), (4, 3), (9, 3), (3, 3), (7, 3)]",12,"[1, 2, 6, 5, 8, 4, 9, 3, 7]"
uid20,"[(1, 5), (7, 5), (5, 5), (2, 5), (4, 5), (8, 5), (6, 4), (9, 4), (3, 4)]",14,"[1, 7, 5, 2, 4, 8, 6, 9, 3]"
uid3,"[(5, 5), (2, 5), (1, 5), (7, 5), (9, 5), (6, 5), (4, 5), (8, 5), (3, 4)]",22,"[5, 2, 1, 7, 9, 6, 4, 8, 3]"
uid4,"[(2, 5), (6, 5), (5, 5), (3, 5), (1, 5), (7, 5), (9, 5), (4, 4), (8, 4)]",18,"[2, 6, 5, 3, 1, 7, 9, 4, 8]"
uid11,"[(6, 5), (8, 5), (2, 4), (1, 4), (5, 4), (3, 4), (7, 4), (9, 3), (4, 3)]",9,"[6, 8, 2, 1, 5, 3, 7, 9, 4]"
uid9,"[(6, 5), (2, 5), (1, 5), (5, 4), (8, 4), (7, 4), (4, 3), (3, 3), (9, 3)]",8,"[6, 2, 1, 5, 8, 7, 4, 3, 9]"
uid21,"[(6, 5), (1, 5), (8, 5), (9, 5), (7, 5), (3, 4), (2, 4), (5, 4), (4, 3)]",10,"[6, 1, 8, 9, 7, 3, 2, 5, 4]"
uid16,"[(1, 5), (2, 5), (6, 5), (5, 5), (3, 4), (8, 4), (7, 3), (4, 3), (9, 3)]",7,"[1, 2, 6, 5, 3, 8, 7, 4, 9]"
uid8,"[(2, 5), (8, 4), (5, 4), (1, 4), (4, 4), (7, 4), (6, 4), (3, 4), (9, 4)]",25,"[2, 8, 5, 1, 4, 7, 6, 3, 9]"
uid10,"[(1, 5), (6, 5), (2, 5), (5, 4), (8, 3), (7, 3), (4, 3), (3, 3), (9, 3)]",12,"[1, 6, 2, 5, 8, 7, 4, 3, 9]"
uid5,"[(2, 4), (8, 4), (5, 4), (1, 4), (4, 4), (3, 4), (7, 4), (6, 4), (9, 4)]",29,"[2, 8, 5, 1, 4, 3, 7, 6, 9]"
uid13,"[(2, 5), (6, 5), (4, 5), (1, 5), (8, 5), (5, 5), (7, 4), (3, 4), (9, 3)]",10,"[2, 6, 4, 1, 8, 5, 7, 3, 9]"
uid7,"[(1, 5), (2, 5), (5, 5), (8, 5), (6, 5), (7, 4), (4, 4), (9, 3), (3, 3)]",7,"[1, 2, 5, 8, 6, 7, 4, 9, 3]"
