username,list_rank,number_questions,list_rank2
uid79,"[(9, 5), (6, 5), (4, 5), (10, 5), (3, 5), (1, 5), (7, 4), (2, 4), (8, 4), (5, 4)]",13,"[9, 6, 4, 10, 3, 1, 7, 2, 8, 5]"
uid81,"[(6, 5), (3, 5), (10, 5), (4, 5), (7, 5), (5, 5), (9, 4), (1, 4), (2, 4), (8, 3)]",13,"[6, 3, 10, 4, 7, 5, 9, 1, 2, 8]"
uid82,"[(2, 5), (3, 5), (10, 5), (1, 4), (4, 4), (9, 4), (5, 4), (6, 4), (8, 4), (7, 3)]",16,"[2, 3, 10, 1, 4, 9, 5, 6, 8, 7]"
uid83,"[(4, 5), (3, 5), (10, 5), (1, 4), (7, 4), (8, 4), (9, 3), (6, 3), (2, 2), (5, 1)]",7,"[4, 3, 10, 1, 7, 8, 9, 6, 2, 5]"
uid84,"[(5, 5), (3, 5), (1, 5), (10, 4), (7, 4), (4, 4), (9, 4), (8, 4), (6, 4), (2, 4)]",13,"[5, 3, 1, 10, 7, 4, 9, 8, 6, 2]"
uid85,"[(4, 5), (10, 5), (3, 4), (1, 4), (6, 4), (9, 3), (7, 3), (5, 3), (2, 2), (8, 2)]",7,"[4, 10, 3, 1, 6, 9, 7, 5, 2, 8]"
uid86,"[(4, 5), (3, 5), (9, 5), (10, 4), (6, 4), (7, 4), (2, 3), (8, 3), (1, 3), (5, 2)]",8,"[4, 3, 9, 10, 6, 7, 2, 8, 1, 5]"
uid87,"[(2, 5), (7, 5), (3, 5), (4, 5), (10, 5), (9, 4), (6, 4), (1, 4), (8, 4), (5, 3)]",13,"[2, 7, 3, 4, 10, 9, 6, 1, 8, 5]"
uid88,"[(9, 5), (3, 5), (4, 5), (1, 5), (10, 4), (7, 4), (5, 3), (6, 3), (8, 3), (2, 3)]",11,"[9, 3, 4, 1, 10, 7, 5, 6, 8, 2]"
uid89,"[(1, 5), (5, 5), (3, 5), (4, 5), (6, 4), (9, 4), (8, 4), (2, 4), (10, 3), (7, 3)]",11,"[1, 5, 3, 4, 6, 9, 8, 2, 10, 7]"
uid90,"[(10, 5), (4, 5), (9, 5), (6, 5), (3, 5), (1, 5), (2, 5), (8, 5), (7, 5), (5, 4)]",19,"[10, 4, 9, 6, 3, 1, 2, 8, 7, 5]"
uid91,"[(1, 5), (10, 5), (8, 5), (7, 5), (4, 5), (5, 5), (3, 5), (6, 5), (2, 4), (9, 4)]",19,"[1, 10, 8, 7, 4, 5, 3, 6, 2, 9]"
uid93,"[(8, 5), (3, 5), (4, 5), (10, 5), (6, 5), (2, 5), (9, 5), (7, 5), (1, 5), (5, 4)]",23,"[8, 3, 4, 10, 6, 2, 9, 7, 1, 5]"
uid94,"[(3, 5), (2, 5), (9, 4), (10, 4), (6, 4), (7, 4), (1, 3), (5, 3), (8, 3), (4, 1)]",8,"[3, 2, 9, 10, 6, 7, 1, 5, 8, 4]"
uid97,"[(10, 5), (6, 5), (8, 5), (4, 5), (1, 5), (5, 5), (7, 5), (2, 5), (3, 5), (9, 5)]",24,"[10, 6, 8, 4, 1, 5, 7, 2, 3, 9]"
uid99,"[(10, 5), (7, 5), (3, 5), (4, 5), (2, 5), (9, 5), (1, 5), (6, 4), (8, 3), (5, 3)]",12,"[10, 7, 3, 4, 2, 9, 1, 6, 8, 5]"
uid100,"[(3, 5), (2, 5), (4, 5), (7, 5), (6, 4), (9, 4), (10, 4), (1, 3), (8, 3), (5, 3)]",12,"[3, 2, 4, 7, 6, 9, 10, 1, 8, 5]"
uid101,"[(3, 5), (4, 5), (7, 5), (2, 5), (9, 4), (6, 4), (5, 4), (8, 3), (1, 3), (10, 3)]",11,"[3, 4, 7, 2, 9, 6, 5, 8, 1, 10]"
uid102,"[(10, 5), (5, 5), (3, 5), (2, 5), (9, 4), (6, 4), (8, 4), (7, 4), (4, 4), (1, 4)]",10,"[10, 5, 3, 2, 9, 6, 8, 7, 4, 1]"
uid103,"[(4, 5), (3, 5), (1, 4), (9, 4), (6, 4), (10, 3), (2, 3), (7, 3), (8, 3), (5, 2)]",8,"[4, 3, 1, 9, 6, 10, 2, 7, 8, 5]"
uid104,"[(3, 5), (4, 5), (10, 5), (8, 4), (9, 4), (7, 4), (1, 3), (2, 2), (6, 2), (5, 1)]",7,"[3, 4, 10, 8, 9, 7, 1, 2, 6, 5]"
uid105,"[(1, 5), (4, 5), (3, 5), (5, 5), (2, 5), (6, 4), (10, 4), (7, 4), (9, 4), (8, 3)]",14,"[1, 4, 3, 5, 2, 6, 10, 7, 9, 8]"
uid106,"[(5, 5), (10, 5), (3, 5), (6, 4), (2, 4), (9, 3), (1, 3), (8, 3), (7, 3), (4, 3)]",10,"[5, 10, 3, 6, 2, 9, 1, 8, 7, 4]"
uid108,"[(9, 5), (7, 5), (6, 5), (4, 5), (3, 5), (10, 5), (1, 5), (5, 5), (8, 4), (2, 4)]",15,"[9, 7, 6, 4, 3, 10, 1, 5, 8, 2]"
uid109,"[(5, 5), (1, 5), (10, 5), (7, 5), (6, 5), (3, 5), (2, 4), (4, 4), (9, 4), (8, 4)]",18,"[5, 1, 10, 7, 6, 3, 2, 4, 9, 8]"
