username,list_rank,number_questions,list_rank2
uid12,"[(1, 5), (3, 5), (7, 4), (8, 4), (2, 4), (6, 3), (5, 3), (4, 3)]",6,"[1, 3, 7, 8, 2, 6, 5, 4]"
uid9,"[(5, 5), (3, 5), (2, 5), (6, 4), (7, 4), (8, 3), (1, 3), (4, 3)]",7,"[5, 3, 2, 6, 7, 8, 1, 4]"
uid14,"[(8, 4), (3, 4), (5, 4), (2, 4), (7, 3), (1, 3), (6, 3), (4, 3)]",9,"[8, 3, 5, 2, 7, 1, 6, 4]"
uid15,"[(8, 4), (5, 4), (3, 4), (7, 4), (2, 4), (1, 3), (6, 3), (4, 3)]",13,"[8, 5, 3, 7, 2, 1, 6, 4]"
uid3,"[(1, 5), (3, 5), (2, 5), (8, 5), (7, 4), (6, 3), (5, 3), (4, 3)]",8,"[1, 3, 2, 8, 7, 6, 5, 4]"
uid8,"[(3, 5), (7, 5), (5, 5), (2, 5), (8, 4), (6, 3), (4, 3), (1, 3)]",7,"[3, 7, 5, 2, 8, 6, 4, 1]"
uid2,"[(8, 4), (5, 3), (7, 3), (2, 3), (3, 3), (4, 2), (1, 2), (6, 1)]",6,"[8, 5, 7, 2, 3, 4, 1, 6]"
uid6,"[(6, 5), (3, 4), (7, 4), (5, 4), (2, 4), (8, 3), (1, 3), (4, 2)]",5,"[6, 3, 7, 5, 2, 8, 1, 4]"
uid10,"[(5, 5), (8, 4), (2, 4), (7, 3), (3, 3), (6, 3), (1, 3), (4, 2)]",4,"[5, 8, 2, 7, 3, 6, 1, 4]"
uid18,"[(3, 5), (7, 5), (5, 5), (4, 4), (2, 4), (8, 4), (6, 3), (1, 3)]",6,"[3, 7, 5, 4, 2, 8, 6, 1]"
uid1,"[(3, 5), (2, 5), (7, 4), (4, 4), (8, 4), (1, 4), (6, 3), (5, 2)]",4,"[3, 2, 7, 4, 8, 1, 6, 5]"
uid11,"[(5, 5), (3, 5), (2, 5), (7, 5), (8, 4), (6, 4), (1, 3), (4, 3)]",8,"[5, 3, 2, 7, 8, 6, 1, 4]"
uid17,"[(3, 5), (5, 5), (7, 4), (4, 4), (8, 4), (2, 3), (6, 3), (1, 2)]",4,"[3, 5, 7, 4, 8, 2, 6, 1]"
uid16,"[(3, 5), (2, 5), (5, 5), (8, 4), (7, 4), (4, 3), (1, 2), (6, 2)]",4,"[3, 2, 5, 8, 7, 4, 1, 6]"
uid13,"[(7, 5), (3, 5), (2, 5), (5, 5), (8, 5), (4, 4), (6, 4), (1, 3)]",5,"[7, 3, 2, 5, 8, 4, 6, 1]"
uid7,"[(7, 5), (2, 5), (3, 4), (5, 4), (4, 4), (6, 4), (1, 4), (8, 4)]",10,"[7, 2, 3, 5, 4, 6, 1, 8]"
uid4,"[(3, 5), (2, 5), (5, 5), (8, 4), (7, 4), (6, 3), (4, 2), (1, 1)]",3,"[3, 2, 5, 8, 7, 6, 4, 1]"
uid5,"[(3, 5), (6, 4), (7, 4), (2, 4), (4, 4), (5, 3), (8, 3), (1, 3)]",8,"[3, 6, 7, 2, 4, 5, 8, 1]"
